account_id,account_name,account_type,region,created_date,status,contact_email,contact_phone
ACC00022,Orion Council 0022,Enterprise,Midlands,03/04/2024,Active,contact00022@exampletelco.co.uk,07528970823
ACC00023,Metro Media 0023,Consumer,Wales,02/04/2025,Active,contact00023@exampletelco.co.uk,07335814408
ACC00024,Vista Logistics 0024,Wholesale,Midlands,12/04/2024,Active,contact00024@exampletelco.co.uk,07875446589
ACC00025,Orion Health 0025,Retail,West,20/06/2023,Active,contact00025@exampletelco.co.uk,07122397416
ACC00026,Zenith Health 0026,Consumer,East,24/09/2023,Active,contact00026@exampletelco.co.uk,07616663691
ACC00027,Horizon Media 0027,Wholesale,Midlands,29/02/2024,Active,contact00027@exampletelco.co.uk,07539450380
ACC00028,Cedar Retail 0028,Consumer,South,24/04/2024,Active,contact00028@exampletelco.co.uk,07380371591
ACC00029,Zenith Finance 0029,Enterprise,Scotland,02/05/2023,Inactive,contact00029@exampletelco.co.uk,07608517111
ACC00030,Vista Telecom 0030,Enterprise,Wales,14/03/2024,Inactive,contact00030@exampletelco.co.uk,07688378705
ACC00031,Cedar Retail 0031,SME,North,24/05/2023,Active,contact00031@exampletelco.co.uk,07717443119
ACC00032,Bluepeak Telecom 0032,Public Sector,North,16/12/2023,Active,contact00032@exampletelco.co.uk,07545811881
ACC00033,Aster Telecom 0033,Consumer,West,16/05/2024,Ceased,contact00033@exampletelco.co.uk,07285195061
ACC00034,Oak Energy 0034,SME,Midlands,04/01/2025,Ceased,contact00034@exampletelco.co.uk,07625243506
ACC00035,Metro Council 0035,SME,South,23/09/2024,Active,contact00035@exampletelco.co.uk,07784476531
ACC00036,Bluepeak Logistics 0036,Public Sector,North,17/05/2024,Active,contact00036@exampletelco.co.uk,07119066539
ACC00037,Bluepeak Media 0037,Consumer,West,14/09/2025,Active,contact00037@exampletelco.co.uk,07453737714
ACC00038,Vista Council 0038,Wholesale,East,24/08/2025,Active,contact00038@exampletelco.co.uk,07509736429
ACC00039,Vista Finance 0039,SME,London,21/03/2024,Ceased,contact00039@exampletelco.co.uk,07432394313
ACC00040,Aster Finance 0040,Wholesale,London,21/02/2024,Ceased,contact00040@exampletelco.co.uk,07722815839
ACC00041,Bluepeak Finance 0041,Public Sector,West,21/06/2023,Active,contact00041@exampletelco.co.uk,07265988619
ACC00042,Horizon Health 0042,Public Sector,East,15/08/2024,Active,contact00042@exampletelco.co.uk,07782289209
ACC00043,Metro Health 0043,SME,London,06/08/2025,Active,contact00043@exampletelco.co.uk,07773726838
ACC00044,Cedar Energy 0044,SME,North,20/02/2025,Active,contact00044@exampletelco.co.uk,07493277324
ACC00045,Aster Energy 0045,Public Sector,London,22/05/2023,Active,contact00045@exampletelco.co.uk,07845162954
ACC00046,Zenith Logistics 0046,Wholesale,Scotland,01/07/2024,Active,contact00046@exampletelco.co.uk,07344692136
ACC00047,Aster Energy 0047,Public Sector,Scotland,29/05/2024,Active,contact00047@exampletelco.co.uk,07869725036
ACC00048,Kaya Retail 0048,Retail,North,23/07/2024,Inactive,contact00048@exampletelco.co.uk,07542076357
ACC00049,Cedar Finance 0049,Consumer,South,12/01/2026,Active,contact00049@exampletelco.co.uk,07660788788
ACC00050,Bluepeak Finance 0050,Enterprise,Midlands,11/07/2024,Ceased,contact00050@exampletelco.co.uk,07979245162
ACC00051,Metro Telecom 0051,Public Sector,London,06/06/2023,Active,contact00051@exampletelco.co.uk,07336921080
ACC00052,Cedar Media 0052,Wholesale,East,07/03/2024,Active,contact00052@exampletelco.co.uk,07672161000
ACC00053,Orion Media 0053,SME,London,21/12/2023,Ceased,contact00053@exampletelco.co.uk,07808642671
ACC00054,Cedar Health 0054,Public Sector,Wales,17/10/2023,Active,contact00054@exampletelco.co.uk,07964491054
ACC00055,Cedar Media 0055,Consumer,Wales,19/01/2026,Active,contact00055@exampletelco.co.uk,07158550152
ACC00056,Aster Retail 0056,Enterprise,West,12/12/2024,Inactive,contact00056@exampletelco.co.uk,07284098903
ACC00057,Kaya Health 0057,Consumer,Wales,22/06/2024,Active,contact00057@exampletelco.co.uk,07360223226
ACC00058,Horizon Energy 0058,Retail,South,14/01/2023,Active,contact00058@exampletelco.co.uk,07189628575
ACC00059,Cedar Logistics 0059,Public Sector,North,14/11/2023,Active,contact00059@exampletelco.co.uk,07547912821
ACC00060,Oak Finance 0060,Enterprise,Wales,05/10/2023,Active,contact00060@exampletelco.co.uk,07269518058
ACC00061,Orion Logistics 0061,Wholesale,Midlands,30/03/2025,Active,contact00061@exampletelco.co.uk,07711225494
ACC00062,Oak Council 0062,SME,North,18/07/2023,Inactive,contact00062@exampletelco.co.uk,07289263822
ACC00063,Cedar Media 0063,Wholesale,Midlands,19/06/2024,Active,contact00063@exampletelco.co.uk,07482039515
ACC00064,Vista Telecom 0064,Consumer,Wales,21/11/2023,Active,contact00064@exampletelco.co.uk,07131387470
ACC00065,Aster Logistics 0065,Wholesale,South,26/09/2023,Active,contact00065@exampletelco.co.uk,07862607719
ACC00066,Horizon Media 0066,Enterprise,East,08/10/2023,Active,contact00066@exampletelco.co.uk,07756303672
ACC00067,Metro Media 0067,Public Sector,West,24/05/2025,Active,contact00067@exampletelco.co.uk,07277533848
ACC00068,Orion Health 0068,Enterprise,East,15/07/2024,Inactive,contact00068@exampletelco.co.uk,07163712839
ACC00069,Cedar Council 0069,Retail,Scotland,22/02/2026,Ceased,contact00069@exampletelco.co.uk,07148316722
ACC00070,Kaya Logistics 0070,SME,Wales,21/12/2023,Active,contact00070@exampletelco.co.uk,07826188123
ACC00071,Vista Logistics 0071,SME,Midlands,18/11/2024,Active,contact00071@exampletelco.co.uk,07589567405
ACC00072,Aster Retail 0072,Enterprise,Midlands,30/11/2023,Active,contact00072@exampletelco.co.uk,07648069385
ACC00073,Bluepeak Finance 0073,Wholesale,Wales,15/02/2026,Active,contact00073@exampletelco.co.uk,07841356510
ACC00074,Oak Energy 0074,Enterprise,Scotland,10/05/2024,Active,contact00074@exampletelco.co.uk,07267847632
ACC00075,Metro Telecom 0075,Consumer,East,13/02/2024,Active,contact00075@exampletelco.co.uk,07592814321
ACC00076,Metro Retail 0076,Retail,Scotland,02/02/2023,Active,contact00076@exampletelco.co.uk,07891671963
ACC00077,Horizon Retail 0077,Public Sector,North,05/02/2024,Active,contact00077@exampletelco.co.uk,07927433004
ACC00078,Aster Council 0078,SME,Midlands,03/06/2024,Active,contact00078@exampletelco.co.uk,07983331621
ACC00079,Vista Finance 0079,Wholesale,London,09/12/2023,Active,contact00079@exampletelco.co.uk,07815114113
ACC00080,Bluepeak Media 0080,SME,Wales,25/04/2025,Active,contact00080@exampletelco.co.uk,07138744275
ACC00081,Oak Council 0081,SME,London,02/08/2024,Active,contact00081@exampletelco.co.uk,07475222578
ACC00082,Aster Energy 0082,Wholesale,London,30/10/2023,Active,contact00082@exampletelco.co.uk,07966688991
ACC00083,Bluepeak Retail 0083,Consumer,Scotland,05/01/2024,Ceased,contact00083@exampletelco.co.uk,07315563362
ACC00084,Aster Media 0084,Wholesale,Midlands,09/11/2025,Active,contact00084@exampletelco.co.uk,07680108683
ACC00085,Orion Finance 0085,Wholesale,South,09/08/2024,Active,contact00085@exampletelco.co.uk,07531586700
ACC00086,Metro Media 0086,Consumer,Midlands,21/01/2025,Active,contact00086@exampletelco.co.uk,07403294661
ACC00087,Orion Retail 0087,Wholesale,Midlands,09/10/2025,Active,contact00087@exampletelco.co.uk,07286648985
ACC00088,Vista Media 0088,Retail,North,13/10/2023,Ceased,contact00088@exampletelco.co.uk,07625490265
ACC00089,Kaya Health 0089,Consumer,Wales,03/06/2025,Active,contact00089@exampletelco.co.uk,07496483035
ACC00090,Kaya Council 0090,SME,Scotland,16/04/2025,Active,contact00090@exampletelco.co.uk,07676531369
ACC00091,Cedar Media 0091,SME,Midlands,26/12/2023,Ceased,contact00091@exampletelco.co.uk,07796152985
ACC00092,Orion Health 0092,SME,West,02/01/2024,Ceased,contact00092@exampletelco.co.uk,07800154331
ACC00093,Horizon Logistics 0093,Consumer,East,25/02/2024,Active,contact00093@exampletelco.co.uk,07112541338
ACC00094,Horizon Council 0094,Public Sector,North,29/04/2023,Active,contact00094@exampletelco.co.uk,07754907842
ACC00095,Horizon Telecom 0095,Consumer,Midlands,18/06/2023,Active,contact00095@exampletelco.co.uk,07195715419
ACC00096,Orion Retail 0096,Wholesale,East,18/12/2024,Active,contact00096@exampletelco.co.uk,07783683990
ACC00097,Cedar Logistics 0097,Wholesale,North,28/06/2024,Active,contact00097@exampletelco.co.uk,07777217639
ACC00098,Orion Media 0098,Consumer,Midlands,21/06/2023,Active,contact00098@exampletelco.co.uk,07218235739
ACC00099,Bluepeak Media 0099,SME,Midlands,24/12/2024,Active,contact00099@exampletelco.co.uk,07888954358
ACC00100,Bluepeak Council 0100,Wholesale,North,26/02/2025,Active,contact00100@exampletelco.co.uk,07985168747
ACC00101,Orion Retail 0101,Public Sector,London,09/11/2024,Active,contact00101@exampletelco.co.uk,07277714832
ACC00102,Aster Telecom 0102,Enterprise,London,21/10/2024,Active,contact00102@exampletelco.co.uk,07394226292
ACC00103,Horizon Logistics 0103,Public Sector,Scotland,28/12/2023,Ceased,contact00103@exampletelco.co.uk,07135842503
ACC00104,Kaya Council 0104,SME,Midlands,22/10/2023,Active,contact00104@exampletelco.co.uk,07217381103
ACC00105,Orion Retail 0105,Public Sector,West,12/11/2025,Active,contact00105@exampletelco.co.uk,07786883949
ACC00106,Orion Logistics 0106,Public Sector,Midlands,23/11/2024,Active,contact00106@exampletelco.co.uk,07179183305
ACC00107,Cedar Retail 0107,Enterprise,Wales,09/04/2025,Active,contact00107@exampletelco.co.uk,07430736479
ACC00108,Metro Council 0108,Public Sector,North,28/01/2025,Active,contact00108@exampletelco.co.uk,07306659540
ACC00109,Oak Energy 0109,Public Sector,London,29/04/2025,Active,contact00109@exampletelco.co.uk,07586628154
ACC00110,Orion Health 0110,Enterprise,Scotland,01/12/2024,Active,contact00110@exampletelco.co.uk,07764074050
ACC00111,Vista Logistics 0111,SME,South,03/05/2023,Active,contact00111@exampletelco.co.uk,07705145351
ACC00112,Aster Logistics 0112,Retail,Wales,01/07/2025,Active,contact00112@exampletelco.co.uk,07188202804
ACC00113,Horizon Energy 0113,Wholesale,London,13/03/2025,Active,contact00113@exampletelco.co.uk,07646047069
ACC00114,Metro Retail 0114,Wholesale,West,27/04/2023,Active,contact00114@exampletelco.co.uk,07730678660
ACC00115,Orion Health 0115,Enterprise,North,10/09/2025,Active,contact00115@exampletelco.co.uk,07964087849
ACC00116,Metro Logistics 0116,Consumer,Scotland,03/05/2025,Active,contact00116@exampletelco.co.uk,07233415403
ACC00117,Cedar Health 0117,Enterprise,West,04/06/2024,Active,contact00117@exampletelco.co.uk,07413578422
ACC00118,Cedar Logistics 0118,Consumer,London,22/06/2023,Active,contact00118@exampletelco.co.uk,07216622412
ACC00119,Bluepeak Council 0119,Retail,West,11/04/2023,Active,contact00119@exampletelco.co.uk,07589478686
ACC00120,Metro Retail 0120,Public Sector,Scotland,02/06/2024,Active,contact00120@exampletelco.co.uk,07298993275
ACC00121,Vista Logistics 0121,Enterprise,West,30/01/2024,Active,contact00121@exampletelco.co.uk,07633341934
ACC00122,Cedar Health 0122,Consumer,South,01/12/2024,Inactive,contact00122@exampletelco.co.uk,07699012476
ACC00123,Vista Council 0123,Public Sector,London,23/09/2025,Ceased,contact00123@exampletelco.co.uk,07575611038
ACC00124,Metro Health 0124,Enterprise,East,21/07/2024,Ceased,contact00124@exampletelco.co.uk,07607971313
ACC00125,Bluepeak Retail 0125,Retail,East,16/01/2023,Active,contact00125@exampletelco.co.uk,07577441642
ACC00126,Aster Logistics 0126,Public Sector,North,09/08/2024,Active,contact00126@exampletelco.co.uk,07916677652
ACC00127,Oak Health 0127,Retail,West,24/10/2025,Active,contact00127@exampletelco.co.uk,07944436692
ACC00128,Orion Logistics 0128,Retail,London,22/02/2026,Active,contact00128@exampletelco.co.uk,07371005223
ACC00129,Vista Energy 0129,Retail,Wales,24/06/2024,Active,contact00129@exampletelco.co.uk,07426232151
ACC00130,Vista Retail 0130,Enterprise,South,07/04/2025,Active,contact00130@exampletelco.co.uk,07653984134
ACC00131,Orion Finance 0131,SME,North,18/03/2024,Active,contact00131@exampletelco.co.uk,07418737377
ACC00132,Kaya Retail 0132,Enterprise,Wales,21/02/2023,Active,contact00132@exampletelco.co.uk,07896575004
ACC00133,Zenith Retail 0133,Consumer,London,08/12/2024,Active,contact00133@exampletelco.co.uk,07784888849
ACC00134,Kaya Media 0134,Wholesale,London,24/09/2025,Active,contact00134@exampletelco.co.uk,07440208916
ACC00135,Metro Logistics 0135,Retail,North,14/08/2024,Active,contact00135@exampletelco.co.uk,07337499655
ACC00136,Cedar Energy 0136,Enterprise,South,26/07/2023,Inactive,contact00136@exampletelco.co.uk,07388947861
ACC00137,Metro Logistics 0137,SME,London,06/04/2025,Ceased,contact00137@exampletelco.co.uk,07348015852
ACC00138,Orion Retail 0138,Wholesale,Midlands,26/12/2024,Active,contact00138@exampletelco.co.uk,07165987951
ACC00139,Vista Telecom 0139,Public Sector,London,31/08/2023,Active,contact00139@exampletelco.co.uk,07542063796
ACC00140,Zenith Energy 0140,Enterprise,Midlands,07/01/2026,Active,contact00140@exampletelco.co.uk,07114834065
ACC00141,Aster Finance 0141,Wholesale,Wales,07/03/2024,Active,contact00141@exampletelco.co.uk,07719540088
ACC00142,Kaya Telecom 0142,Enterprise,East,04/11/2025,Active,contact00142@exampletelco.co.uk,07642791461
ACC00143,Cedar Retail 0143,Retail,Scotland,03/01/2024,Active,contact00143@exampletelco.co.uk,07488685790
ACC00144,Oak Energy 0144,Public Sector,Wales,27/06/2023,Inactive,contact00144@exampletelco.co.uk,07163891316
ACC00145,Horizon Media 0145,Consumer,Wales,07/07/2023,Inactive,contact00145@exampletelco.co.uk,07981624096
ACC00146,Kaya Telecom 0146,Wholesale,Wales,30/04/2024,Active,contact00146@exampletelco.co.uk,07534483954
ACC00147,Cedar Council 0147,Wholesale,Wales,07/12/2023,Inactive,contact00147@exampletelco.co.uk,07950007260
ACC00148,Orion Logistics 0148,Retail,South,25/12/2025,Active,contact00148@exampletelco.co.uk,07741205880
ACC00149,Aster Retail 0149,Enterprise,West,06/01/2026,Active,contact00149@exampletelco.co.uk,07686710325
ACC00150,Zenith Energy 0150,SME,West,09/07/2024,Ceased,contact00150@exampletelco.co.uk,07634801740
ACC00151,Orion Council 0151,Retail,South,01/03/2023,Active,contact00151@exampletelco.co.uk,07942596239
ACC00152,Metro Media 0152,Wholesale,London,02/10/2025,Active,contact00152@exampletelco.co.uk,07624915588
ACC00153,Kaya Energy 0153,Retail,North,01/05/2024,Active,contact00153@exampletelco.co.uk,07477718901
ACC00154,Zenith Media 0154,SME,East,15/08/2023,Active,contact00154@exampletelco.co.uk,07499156984
ACC00155,Cedar Finance 0155,Enterprise,Scotland,12/06/2023,Active,contact00155@exampletelco.co.uk,07703205663
ACC00156,Bluepeak Energy 0156,Consumer,Scotland,19/03/2024,Active,contact00156@exampletelco.co.uk,07624412301
ACC00157,Kaya Media 0157,Public Sector,North,24/03/2023,Inactive,contact00157@exampletelco.co.uk,07994043995
ACC00158,Kaya Retail 0158,Public Sector,Midlands,25/05/2023,Active,contact00158@exampletelco.co.uk,07590002116
ACC00159,Metro Finance 0159,SME,East,26/09/2025,Active,contact00159@exampletelco.co.uk,07307184446
ACC00160,Cedar Telecom 0160,Public Sector,North,21/10/2025,Ceased,contact00160@exampletelco.co.uk,07943689944
ACC00161,Bluepeak Retail 0161,Consumer,East,21/05/2024,Active,contact00161@exampletelco.co.uk,07618651218
ACC00162,Vista Finance 0162,Retail,Midlands,01/02/2025,Active,contact00162@exampletelco.co.uk,07367534264
ACC00163,Kaya Finance 0163,Wholesale,Wales,21/06/2025,Active,contact00163@exampletelco.co.uk,07685654003
ACC00164,Bluepeak Health 0164,Wholesale,Wales,04/09/2023,Active,contact00164@exampletelco.co.uk,07388024398
ACC00165,Oak Telecom 0165,Public Sector,East,01/09/2024,Ceased,contact00165@exampletelco.co.uk,07398152466
ACC00166,Oak Health 0166,Public Sector,Wales,23/03/2024,Active,contact00166@exampletelco.co.uk,07506991983
ACC00167,Aster Media 0167,Wholesale,North,18/09/2024,Active,contact00167@exampletelco.co.uk,07468748096
ACC00168,Horizon Telecom 0168,Retail,North,06/07/2025,Ceased,contact00168@exampletelco.co.uk,07527746854
ACC00169,Zenith Retail 0169,Retail,South,28/08/2025,Active,contact00169@exampletelco.co.uk,07394137419
ACC00170,Oak Energy 0170,Public Sector,East,16/10/2023,Active,contact00170@exampletelco.co.uk,07328084277
ACC00171,Cedar Media 0171,Retail,West,21/07/2025,Active,contact00171@exampletelco.co.uk,07873677120
ACC00172,Cedar Telecom 0172,Enterprise,Scotland,31/12/2023,Active,contact00172@exampletelco.co.uk,07851198037
ACC00173,Metro Telecom 0173,Enterprise,East,31/12/2024,Active,contact00173@exampletelco.co.uk,07810445280
ACC00174,Aster Retail 0174,SME,West,02/05/2024,Active,contact00174@exampletelco.co.uk,07363734891
ACC00175,Metro Retail 0175,Enterprise,Wales,15/11/2025,Active,contact00175@exampletelco.co.uk,07515693033
ACC00176,Metro Finance 0176,Public Sector,North,28/09/2023,Active,contact00176@exampletelco.co.uk,07297715828
ACC00177,Orion Council 0177,Consumer,London,18/08/2024,Active,contact00177@exampletelco.co.uk,07156257961
ACC00178,Zenith Logistics 0178,Enterprise,South,16/11/2025,Active,contact00178@exampletelco.co.uk,07935675638
ACC00179,Metro Media 0179,Consumer,North,21/01/2023,Active,contact00179@exampletelco.co.uk,07569822453
ACC00180,Cedar Health 0180,Wholesale,North,17/11/2023,Active,contact00180@exampletelco.co.uk,07219561073
ACC00181,Orion Logistics 0181,Wholesale,West,01/10/2024,Inactive,contact00181@exampletelco.co.uk,07649252449
ACC00182,Aster Finance 0182,Enterprise,East,24/09/2025,Active,contact00182@exampletelco.co.uk,07690028260
ACC00183,Aster Logistics 0183,Consumer,North,18/07/2023,Active,contact00183@exampletelco.co.uk,07947875601
ACC00184,Aster Finance 0184,Public Sector,East,18/01/2024,Active,contact00184@exampletelco.co.uk,07409464087
ACC00185,Orion Telecom 0185,SME,Wales,22/05/2023,Active,contact00185@exampletelco.co.uk,07505840272
ACC00186,Horizon Telecom 0186,SME,Midlands,06/02/2024,Inactive,contact00186@exampletelco.co.uk,07147715677
ACC00187,Bluepeak Logistics 0187,Enterprise,London,23/08/2025,Active,contact00187@exampletelco.co.uk,07887933957
ACC00188,Aster Council 0188,Consumer,Midlands,29/08/2023,Active,contact00188@exampletelco.co.uk,07285586581
ACC00189,Orion Logistics 0189,Consumer,Wales,22/01/2026,Active,contact00189@exampletelco.co.uk,07883725046
ACC00190,Horizon Retail 0190,Wholesale,North,23/01/2025,Active,contact00190@exampletelco.co.uk,07752715848
ACC00191,Aster Telecom 0191,Wholesale,South,22/12/2024,Active,contact00191@exampletelco.co.uk,07517146991
ACC00192,Kaya Energy 0192,Enterprise,Wales,15/05/2023,Active,contact00192@exampletelco.co.uk,07831589810
ACC00193,Kaya Finance 0193,Wholesale,Wales,26/12/2024,Ceased,contact00193@exampletelco.co.uk,07368805141
ACC00194,Orion Retail 0194,SME,Wales,26/08/2024,Active,contact00194@exampletelco.co.uk,07983819882
ACC00195,Metro Telecom 0195,Enterprise,North,21/01/2025,Ceased,contact00195@exampletelco.co.uk,07413830893
ACC00196,Metro Telecom 0196,Retail,East,07/04/2025,Active,contact00196@exampletelco.co.uk,07605894808
ACC00197,Aster Health 0197,Public Sector,London,16/10/2024,Active,contact00197@exampletelco.co.uk,07261528266
ACC00198,Cedar Telecom 0198,Retail,North,02/10/2024,Active,contact00198@exampletelco.co.uk,07739481056
ACC00199,Metro Telecom 0199,Public Sector,West,18/03/2024,Active,contact00199@exampletelco.co.uk,07172837079
ACC00200,Oak Energy 0200,Enterprise,East,10/03/2025,Active,contact00200@exampletelco.co.uk,07512287248
ACC00201,Bluepeak Telecom 0201,Retail,Wales,06/01/2026,Active,contact00201@exampletelco.co.uk,07464449790
ACC00202,Zenith Media 0202,Enterprise,London,20/07/2025,Active,contact00202@exampletelco.co.uk,07697165516
ACC00203,Zenith Energy 0203,SME,London,15/03/2024,Active,contact00203@exampletelco.co.uk,07276885382
ACC00204,Aster Telecom 0204,Wholesale,Scotland,19/01/2025,Active,contact00204@exampletelco.co.uk,07109002527
ACC00205,Bluepeak Logistics 0205,Public Sector,Midlands,12/02/2024,Active,contact00205@exampletelco.co.uk,07554201884
ACC00206,Aster Finance 0206,Wholesale,Scotland,13/07/2025,Active,contact00206@exampletelco.co.uk,07695640742
ACC00207,Cedar Energy 0207,SME,London,21/10/2023,Active,contact00207@exampletelco.co.uk,07628932006
ACC00208,Vista Energy 0208,Retail,Wales,14/09/2025,Active,contact00208@exampletelco.co.uk,07273939054
ACC00209,Kaya Retail 0209,Enterprise,London,13/01/2024,Active,contact00209@exampletelco.co.uk,07592887682
ACC00210,Metro Health 0210,Enterprise,Wales,28/01/2025,Active,contact00210@exampletelco.co.uk,07492975980
ACC00211,Cedar Retail 0211,Retail,Wales,01/11/2023,Active,contact00211@exampletelco.co.uk,07817386634
ACC00212,Bluepeak Media 0212,SME,Wales,13/02/2023,Active,contact00212@exampletelco.co.uk,07236862212
ACC00213,Zenith Telecom 0213,SME,Wales,03/11/2025,Active,contact00213@exampletelco.co.uk,07595682325
ACC00214,Horizon Media 0214,Wholesale,Midlands,27/05/2024,Active,contact00214@exampletelco.co.uk,07315392692
ACC00215,Kaya Media 0215,Enterprise,East,16/04/2024,Active,contact00215@exampletelco.co.uk,07445099474
ACC00216,Vista Logistics 0216,Retail,North,27/01/2023,Active,contact00216@exampletelco.co.uk,07297115040
ACC00217,Metro Energy 0217,Public Sector,Midlands,04/11/2025,Active,contact00217@exampletelco.co.uk,07434042071
ACC00218,Vista Energy 0218,Consumer,West,01/12/2023,Active,contact00218@exampletelco.co.uk,07632862665
ACC00219,Orion Council 0219,Retail,Wales,08/12/2024,Active,contact00219@exampletelco.co.uk,07269658231
ACC00220,Kaya Council 0220,Retail,West,17/03/2023,Active,contact00220@exampletelco.co.uk,07245863335
ACC00221,Kaya Logistics 0221,Wholesale,West,07/05/2023,Active,contact00221@exampletelco.co.uk,07645681030
ACC00222,Orion Finance 0222,Consumer,East,19/11/2023,Active,contact00222@exampletelco.co.uk,07878594759
ACC00223,Metro Health 0223,Public Sector,North,20/02/2025,Active,contact00223@exampletelco.co.uk,07772919327
ACC00224,Cedar Energy 0224,Consumer,North,05/10/2025,Active,contact00224@exampletelco.co.uk,07607485628
ACC00225,Kaya Energy 0225,Retail,South,25/10/2025,Active,contact00225@exampletelco.co.uk,07277707973
ACC00226,Cedar Telecom 0226,Public Sector,East,29/03/2023,Active,contact00226@exampletelco.co.uk,07203558584
ACC00227,Bluepeak Energy 0227,Public Sector,Scotland,06/10/2025,Active,contact00227@exampletelco.co.uk,07803207673
ACC00228,Horizon Council 0228,Retail,West,14/09/2023,Active,contact00228@exampletelco.co.uk,07973428566
ACC00229,Horizon Retail 0229,Enterprise,East,10/01/2024,Ceased,contact00229@exampletelco.co.uk,07457770574
ACC00230,Zenith Energy 0230,Wholesale,East,10/02/2026,Active,contact00230@exampletelco.co.uk,07112759737
ACC00231,Bluepeak Retail 0231,Public Sector,Scotland,22/01/2023,Active,contact00231@exampletelco.co.uk,07113793985
ACC00232,Horizon Health 0232,Wholesale,Scotland,18/04/2023,Active,contact00232@exampletelco.co.uk,07849848198
ACC00233,Oak Retail 0233,Consumer,London,15/10/2025,Active,contact00233@exampletelco.co.uk,07635565601
ACC00234,Aster Retail 0234,Consumer,North,06/07/2024,Ceased,contact00234@exampletelco.co.uk,07500004601
ACC00235,Oak Retail 0235,Public Sector,London,05/08/2024,Inactive,contact00235@exampletelco.co.uk,07494153717
ACC00236,Orion Council 0236,Wholesale,Midlands,13/11/2025,Active,contact00236@exampletelco.co.uk,07842700887
ACC00237,Orion Media 0237,Enterprise,Wales,17/03/2023,Active,contact00237@exampletelco.co.uk,07808101399
ACC00238,Orion Retail 0238,Wholesale,Scotland,25/03/2025,Active,contact00238@exampletelco.co.uk,07995153738
ACC00239,Kaya Energy 0239,SME,Wales,15/04/2024,Active,contact00239@exampletelco.co.uk,07209703214
ACC00240,Kaya Logistics 0240,Consumer,East,11/04/2023,Active,contact00240@exampletelco.co.uk,07875962091
ACC00241,Cedar Finance 0241,Consumer,North,18/12/2025,Active,contact00241@exampletelco.co.uk,07373746928
ACC00242,Aster Health 0242,Wholesale,Wales,22/09/2023,Active,contact00242@exampletelco.co.uk,07293070545
ACC00243,Vista Telecom 0243,Public Sector,London,19/01/2026,Active,contact00243@exampletelco.co.uk,07194778191
ACC00244,Zenith Telecom 0244,Consumer,North,12/04/2025,Active,contact00244@exampletelco.co.uk,07518038350
ACC00245,Metro Health 0245,Enterprise,Wales,25/11/2023,Active,contact00245@exampletelco.co.uk,07983093040
ACC00246,Orion Media 0246,Wholesale,West,02/04/2023,Active,contact00246@exampletelco.co.uk,07605312251
ACC00247,Metro Finance 0247,Consumer,West,30/12/2024,Active,contact00247@exampletelco.co.uk,07732911696
ACC00248,Vista Energy 0248,Enterprise,Wales,15/06/2023,Active,contact00248@exampletelco.co.uk,07172140445
