order_id,account_id,asset_id,order_date,order_type,quantity,unit_price,order_status,total_price
ORD00025,ACC00424,AST00025,18/09/2025,Cease,1,27.75,Completed,27.75
ORD00026,ACC00642,AST00026,23/06/2023,Transfer,1,16.65,Completed,16.65
ORD00027,ACC00176,AST00027,18/11/2024,Upgrade,1,162.0,In Progress,162.0
ORD00028,ACC00149,AST00028,14/08/2025,New Installation,5,32.0,Completed,160.0
ORD00029,ACC00797,AST00029,30/04/2024,Upgrade,1,198.0,Completed,198.0
ORD00030,ACC00580,AST00030,27/01/2024,Upgrade,1,165.0,Completed,165.0
ORD00031,ACC00692,AST00031,17/04/2024,New Installation,10,20.35,In Progress,203.5
ORD00032,ACC00272,AST00032,25/05/2025,Transfer,1,15.4,Completed,15.4
ORD00033,ACC00595,AST00033,27/02/2026,New Installation,1,41.8,Completed,41.8
ORD00034,ACC00880,AST00034,26/07/2024,New Installation,2,36.0,Completed,72.0
ORD00035,ACC00559,AST00035,12/06/2023,Upgrade,3,270.0,In Progress,810.0
ORD00036,ACC00903,AST00036,21/02/2026,Cease,3,135.0,Completed,405.0
ORD00037,ACC00360,AST00037,07/04/2025,New Installation,1,24.0,Completed,24.0
ORD00038,ACC00197,AST00038,27/01/2023,Cease,1,14.0,Completed,14.0
ORD00039,ACC00691,AST00039,24/02/2023,New Installation,1,242.0,Completed,242.0
ORD00040,ACC00548,AST00040,07/02/2024,Transfer,1,48.0,In Progress,48.0
ORD00041,ACC00705,AST00041,29/10/2024,Upgrade,10,49.5,Completed,495.0
ORD00042,ACC00689,AST00042,07/08/2025,Upgrade,2,34.2,Completed,68.4
ORD00043,ACC00630,AST00043,19/12/2025,Upgrade,10,41.8,Completed,418.0
ORD00044,ACC00597,AST00044,05/04/2025,Upgrade,10,48.0,In Progress,480.0
ORD00045,ACC00373,AST00045,24/07/2023,Transfer,10,26.4,In Progress,264.0
ORD00046,ACC00959,AST00046,25/04/2025,Modify,2,26.4,Completed,52.8
ORD00047,ACC00221,AST00047,12/09/2025,Transfer,2,162.0,Completed,324.0
ORD00048,ACC00282,AST00048,12/08/2024,Transfer,1,198.0,Open,198.0
ORD00049,ACC00481,AST00049,07/01/2026,New Installation,3,135.0,In Progress,405.0
ORD00050,ACC00715,AST00050,07/11/2023,New Installation,3,30.0,Completed,90.0
ORD00051,ACC00109,AST00051,05/01/2026,New Installation,10,23.12,Completed,231.2
ORD00052,ACC00823,AST00052,23/09/2024,Cease,2,24.0,Completed,48.0
ORD00053,ACC00924,AST00053,21/09/2023,Upgrade,1,12.6,Open,12.6
ORD00054,ACC00037,AST00054,10/02/2024,Upgrade,1,14.25,Completed,14.25
ORD00055,ACC00744,AST00055,23/09/2024,New Installation,1,21.0,In Progress,21.0
ORD00056,ACC00486,AST00056,21/01/2026,Transfer,2,225.0,Completed,450.0
ORD00057,ACC00158,AST00057,15/08/2024,Transfer,1,270.0,Completed,270.0
ORD00058,ACC00223,AST00058,15/07/2024,Upgrade,1,21.0,Completed,21.0
ORD00059,ACC00443,AST00059,23/03/2023,Upgrade,10,9.5,Completed,95.0
ORD00060,ACC00467,AST00060,25/10/2023,Upgrade,10,10.45,Completed,104.5
ORD00061,ACC00848,AST00061,10/09/2025,Cease,10,330.0,Completed,3300.0
ORD00062,ACC00721,AST00062,16/04/2023,Transfer,3,40.5,Completed,121.5
ORD00063,ACC00266,AST00063,09/01/2026,Modify,1,28.8,Open,28.8
ORD00064,ACC00146,AST00064,17/10/2024,New Installation,10,220.0,Completed,2200.0
ORD00065,ACC00212,AST00065,13/03/2026,Upgrade,3,40.5,In Progress,121.5
ORD00066,ACC00184,AST00066,20/03/2026,Modify,2,36.0,Completed,72.0
ORD00067,ACC00177,AST00067,08/12/2025,Modify,10,24.0,Completed,240.0
ORD00068,ACC00247,AST00068,12/07/2025,Modify,1,67.5,Completed,67.5
ORD00069,ACC00131,AST00069,04/10/2023,New Installation,1,220.0,Completed,220.0
ORD00070,ACC00653,AST00070,18/02/2026,Modify,10,40.0,Completed,400.0
ORD00071,ACC00115,AST00071,24/09/2024,New Installation,5,225.0,Completed,1125.0
ORD00072,ACC00417,AST00072,17/06/2024,Transfer,2,187.5,Completed,375.0
ORD00073,ACC00139,AST00073,12/06/2023,Modify,5,225.0,Completed,1125.0
ORD00074,ACC00432,AST00074,30/08/2025,Upgrade,3,135.0,Completed,405.0
ORD00075,ACC00190,AST00075,10/05/2024,Transfer,5,20.35,In Progress,101.75
ORD00076,ACC00687,AST00076,12/11/2025,Transfer,10,26.4,Completed,264.0
ORD00077,ACC00277,AST00077,15/07/2025,Modify,10,11.88,Completed,118.8
ORD00078,ACC00258,AST00078,28/12/2024,New Installation,5,330.0,Completed,1650.0
ORD00079,ACC00230,AST00079,08/06/2024,New Installation,1,270.0,In Progress,270.0
ORD00080,ACC00396,AST00080,10/04/2023,Upgrade,1,180.0,Completed,180.0
ORD00081,ACC00582,AST00081,09/02/2026,New Installation,10,27.75,Completed,277.5
ORD00082,ACC00669,AST00082,26/03/2023,Modify,2,36.0,Open,72.0
ORD00083,ACC00627,AST00083,01/02/2023,Modify,3,225.0,Open,675.0
ORD00084,ACC00522,AST00084,07/04/2024,Cease,5,10.45,Completed,52.25
ORD00085,ACC00341,AST00085,22/02/2023,Upgrade,1,198.0,Completed,198.0
ORD00086,ACC00679,AST00086,24/12/2023,Modify,3,12.6,Completed,37.8
ORD00087,ACC00968,AST00087,14/11/2025,New Installation,2,32.0,Completed,64.0
ORD00088,ACC00322,AST00088,04/06/2025,New Installation,1,15.4,Completed,15.4
ORD00089,ACC00693,AST00089,21/05/2025,Modify,5,28.8,Completed,144.0
ORD00090,ACC00767,AST00090,19/11/2025,Transfer,1,10.45,Open,10.45
ORD00091,ACC00134,AST00091,09/06/2024,Upgrade,5,56.25,Completed,281.25
ORD00092,ACC00767,AST00092,05/06/2024,Transfer,3,67.5,Open,202.5
ORD00093,ACC00495,AST00093,13/06/2023,Cease,1,165.0,Completed,165.0
ORD00094,ACC00556,AST00094,25/06/2025,Cease,1,165.0,Completed,165.0
ORD00095,ACC00803,AST00095,14/09/2023,Transfer,3,10.45,In Progress,31.35
ORD00096,ACC00311,AST00096,28/02/2026,New Installation,5,135.0,Completed,675.0
ORD00097,ACC00043,AST00097,05/10/2025,Upgrade,1,32.0,Completed,32.0
ORD00098,ACC00701,AST00098,26/10/2024,Modify,1,14.25,Open,14.25
ORD00099,ACC00583,AST00099,24/11/2025,Upgrade,2,21.6,Completed,43.2
ORD00100,ACC00845,AST00100,21/02/2026,Cease,1,162.0,Open,162.0
ORD00101,ACC00937,AST00101,18/08/2024,Cease,1,225.0,Completed,225.0
ORD00102,ACC00943,AST00102,08/04/2026,Modify,1,198.0,Completed,198.0
ORD00103,ACC00301,AST00103,22/09/2023,Transfer,1,8.55,Open,8.55
ORD00104,ACC00898,AST00104,20/11/2024,Upgrade,10,150.0,Completed,1500.0
ORD00105,ACC00679,AST00105,22/01/2026,Modify,10,180.0,Completed,1800.0
ORD00106,ACC00083,AST00106,05/11/2025,Upgrade,1,135.0,In Progress,135.0
ORD00107,ACC00571,AST00107,02/04/2024,Upgrade,2,48.0,Completed,96.0
ORD00108,ACC00857,AST00108,18/06/2023,New Installation,1,162.0,Completed,162.0
ORD00109,ACC00864,AST00109,13/03/2026,Cease,10,330.0,Completed,3300.0
ORD00110,ACC00236,AST00110,28/09/2023,Transfer,5,225.0,Completed,1125.0
ORD00111,ACC00251,AST00111,23/12/2024,Modify,1,41.8,Completed,41.8
ORD00112,ACC00991,AST00112,04/09/2023,Modify,3,8.55,Completed,25.65
ORD00113,ACC00087,AST00113,24/07/2024,Upgrade,3,150.0,Completed,450.0
ORD00114,ACC00190,AST00114,25/10/2025,Transfer,5,225.0,Completed,1125.0
ORD00115,ACC00639,AST00115,20/10/2023,New Installation,10,198.0,Completed,1980.0
ORD00116,ACC00307,AST00116,10/02/2026,New Installation,2,56.25,Completed,112.5
ORD00117,ACC00301,AST00117,04/12/2025,New Installation,5,10.45,In Progress,52.25
ORD00118,ACC00885,AST00118,15/01/2026,Upgrade,1,10.45,In Progress,10.45
ORD00119,ACC00250,AST00119,01/09/2023,Transfer,1,21.0,Completed,21.0
ORD00120,ACC00794,AST00120,19/09/2023,New Installation,2,49.5,Completed,99.0
ORD00121,ACC00187,AST00121,03/04/2025,Modify,1,38.0,Open,38.0
ORD00122,ACC00977,AST00122,17/12/2024,New Installation,2,48.0,Completed,96.0
ORD00123,ACC00224,AST00123,16/10/2024,Cease,1,198.0,Completed,198.0
ORD00124,ACC00360,AST00124,11/03/2023,Upgrade,1,32.0,In Progress,32.0
ORD00125,ACC00766,AST00125,15/09/2025,Modify,3,8.55,In Progress,25.65
ORD00126,ACC00241,AST00126,28/03/2025,Upgrade,5,23.12,In Progress,115.6
ORD00127,ACC00936,AST00127,01/04/2026,Cease,1,11.88,Open,11.88
ORD00128,ACC00465,AST00128,18/06/2025,Upgrade,2,180.0,In Progress,360.0
ORD00129,ACC00699,AST00129,16/05/2023,New Installation,10,18.5,Completed,185.0
ORD00130,ACC00152,AST00130,23/01/2024,Upgrade,1,10.45,In Progress,10.45
ORD00131,ACC00878,AST00131,23/06/2025,Modify,2,10.45,Completed,20.9
ORD00132,ACC00977,AST00132,20/03/2023,Cease,1,48.0,Completed,48.0
ORD00133,ACC00046,AST00133,04/03/2024,Transfer,1,330.0,In Progress,330.0
ORD00134,ACC00740,AST00134,08/05/2024,Modify,1,165.0,Completed,165.0
ORD00135,ACC01000,AST00135,07/11/2024,Transfer,1,165.0,Completed,165.0
ORD00136,ACC00631,AST00136,02/02/2025,Upgrade,1,135.0,Completed,135.0
ORD00137,ACC00399,AST00137,03/11/2023,Transfer,1,21.0,Completed,21.0
ORD00138,ACC00748,AST00138,29/09/2024,Cease,2,18.5,Completed,37.0
ORD00139,ACC00969,AST00139,09/03/2024,Modify,2,12.6,Completed,25.2
ORD00140,ACC00798,AST00140,08/01/2023,Transfer,1,21.6,Completed,21.6
ORD00141,ACC00788,AST00141,06/06/2025,New Installation,1,48.0,Open,48.0
ORD00142,ACC00984,AST00142,11/03/2023,Modify,1,24.0,Completed,24.0
ORD00143,ACC00795,AST00143,30/06/2024,Transfer,1,225.0,Open,225.0
ORD00144,ACC00151,AST00144,20/03/2025,Transfer,1,165.0,Completed,165.0
ORD00145,ACC00314,AST00145,22/09/2025,Modify,10,67.5,In Progress,675.0
ORD00146,ACC00543,AST00146,22/04/2024,Upgrade,10,162.0,Completed,1620.0
ORD00147,ACC00602,AST00147,01/12/2025,Modify,5,24.0,Completed,120.0
ORD00148,ACC00204,AST00148,05/03/2026,New Installation,1,10.45,In Progress,10.45
ORD00149,ACC00893,AST00149,12/06/2025,Transfer,2,220.0,Open,440.0
ORD00150,ACC00443,AST00150,20/02/2025,New Installation,2,180.0,Open,360.0
ORD00151,ACC00273,AST00151,04/04/2023,Cease,1,26.4,Completed,26.4
ORD00152,ACC00874,AST00152,19/05/2023,Cease,10,18.5,Completed,185.0
ORD00153,ACC00397,AST00153,16/10/2024,Modify,5,32.0,Completed,160.0
ORD00154,ACC00609,AST00154,27/04/2024,Upgrade,2,24.0,In Progress,48.0
ORD00155,ACC00008,AST00155,11/04/2025,Transfer,1,198.0,Completed,198.0
ORD00156,ACC00531,AST00156,25/11/2025,Transfer,10,26.4,Completed,264.0
ORD00157,ACC00051,AST00157,01/12/2023,Cease,3,45.0,Completed,135.0
ORD00158,ACC00188,AST00158,10/02/2024,Transfer,5,162.0,Completed,810.0
ORD00159,ACC00392,AST00159,02/09/2024,Cease,2,8.55,Completed,17.1
ORD00160,ACC00794,AST00160,14/08/2024,Modify,5,49.5,Open,247.5
ORD00161,ACC00385,AST00161,11/09/2024,Modify,5,150.0,In Progress,750.0
ORD00162,ACC00118,AST00162,23/08/2025,New Installation,1,10.45,Completed,10.45
ORD00163,ACC00110,AST00163,12/02/2023,New Installation,1,187.5,In Progress,187.5
ORD00164,ACC00071,AST00164,03/11/2025,Upgrade,1,40.5,Completed,40.5
ORD00165,ACC00476,AST00165,11/01/2025,Transfer,1,242.0,In Progress,242.0
ORD00166,ACC00899,AST00166,17/06/2024,New Installation,1,16.65,Completed,16.65
ORD00167,ACC00791,AST00167,01/08/2023,Cease,3,56.25,In Progress,168.75
ORD00168,ACC00386,AST00168,31/10/2024,Cease,1,36.0,Completed,36.0
ORD00169,ACC00658,AST00169,17/02/2024,Transfer,2,198.0,Completed,396.0
ORD00170,ACC00333,AST00170,11/06/2025,New Installation,10,270.0,Completed,2700.0
ORD00171,ACC00756,AST00171,02/03/2025,Upgrade,1,225.0,Completed,225.0
ORD00172,ACC00933,AST00172,18/03/2026,Cease,1,17.5,In Progress,17.5
ORD00173,ACC00661,AST00173,02/12/2024,Modify,5,12.6,Completed,63.0
ORD00174,ACC00855,AST00174,18/11/2024,Transfer,2,330.0,Completed,660.0
ORD00175,ACC00436,AST00175,25/03/2025,Transfer,1,14.0,Completed,14.0
ORD00176,ACC00679,AST00176,19/03/2024,Upgrade,10,21.0,Completed,210.0
ORD00177,ACC00116,AST00177,30/10/2025,Modify,1,14.25,Completed,14.25
ORD00178,ACC00160,AST00178,17/09/2024,New Installation,1,11.88,Completed,11.88
ORD00179,ACC00502,AST00179,01/08/2025,Transfer,1,9.5,Completed,9.5
ORD00180,ACC00400,AST00180,02/03/2025,Cease,2,57.0,Completed,114.0
ORD00181,ACC00066,AST00181,25/08/2024,Modify,1,270.0,Completed,270.0
ORD00182,ACC00599,AST00182,19/12/2023,Modify,1,21.6,Completed,21.6
ORD00183,ACC00406,AST00183,15/08/2024,Cease,10,165.0,Completed,1650.0
ORD00184,ACC00641,AST00184,08/07/2023,New Installation,10,17.5,Completed,175.0
ORD00185,ACC00436,AST00185,07/04/2024,Modify,1,56.25,In Progress,56.25
ORD00186,ACC00434,AST00186,14/02/2024,Transfer,1,45.0,Completed,45.0
ORD00187,ACC00936,AST00187,27/12/2025,Transfer,1,14.0,Completed,14.0
ORD00188,ACC00845,AST00188,27/04/2025,Modify,2,14.25,Open,28.5
ORD00189,ACC00182,AST00189,14/09/2025,New Installation,2,165.0,Completed,330.0
ORD00190,ACC00592,AST00190,20/06/2025,Transfer,2,198.0,Completed,396.0
ORD00191,ACC00852,AST00191,20/04/2024,Upgrade,1,135.0,Completed,135.0
ORD00192,ACC00799,AST00192,18/05/2025,Transfer,1,45.0,In Progress,45.0
ORD00193,ACC00049,AST00193,26/09/2023,New Installation,1,330.0,In Progress,330.0
ORD00194,ACC00015,AST00194,25/03/2026,New Installation,10,40.0,Open,400.0
ORD00195,ACC00200,AST00195,05/02/2026,Cease,3,67.5,Completed,202.5
ORD00196,ACC00269,AST00196,07/02/2025,Upgrade,10,9.5,Completed,95.0
ORD00197,ACC00398,AST00197,12/09/2023,New Installation,3,225.0,Completed,675.0
ORD00198,ACC00659,AST00198,22/01/2024,New Installation,3,56.25,Completed,168.75
ORD00199,ACC00249,AST00199,19/04/2024,New Installation,2,41.8,In Progress,83.6
ORD00200,ACC00331,AST00200,10/09/2025,Cease,3,24.0,Completed,72.0
ORD00201,ACC00723,AST00201,23/03/2025,Transfer,10,135.0,Completed,1350.0
ORD00202,ACC00041,AST00202,19/08/2024,Transfer,5,40.5,Open,202.5
ORD00203,ACC00474,AST00203,19/03/2023,Modify,2,49.5,Completed,99.0
ORD00204,ACC00255,AST00204,14/02/2026,Modify,1,23.12,In Progress,23.12
ORD00205,ACC00656,AST00205,18/01/2024,Transfer,1,330.0,Completed,330.0
ORD00206,ACC00225,AST00206,10/07/2025,Cease,1,225.0,Completed,225.0
ORD00207,ACC00520,AST00207,04/07/2024,New Installation,3,49.5,Completed,148.5
ORD00208,ACC00531,AST00208,24/02/2023,Modify,1,27.75,Completed,27.75
ORD00209,ACC00701,AST00209,17/06/2025,Modify,10,242.0,Completed,2420.0
ORD00210,ACC00274,AST00210,28/01/2026,Upgrade,5,198.0,Completed,990.0
ORD00211,ACC00414,AST00211,19/01/2024,Cease,10,11.88,Completed,118.8
ORD00212,ACC00165,AST00212,17/08/2024,Cease,1,36.0,Completed,36.0
ORD00213,ACC00339,AST00213,20/09/2025,New Installation,1,225.0,Completed,225.0
ORD00214,ACC00075,AST00214,25/07/2025,Cease,2,32.0,Completed,64.0
ORD00215,ACC00405,AST00215,24/01/2025,Transfer,1,220.0,Completed,220.0
ORD00216,ACC00189,AST00216,03/11/2023,Cease,1,330.0,In Progress,330.0
ORD00217,ACC00177,AST00217,20/04/2024,New Installation,1,24.0,Completed,24.0
ORD00218,ACC00916,AST00218,15/10/2023,Upgrade,1,12.6,Completed,12.6
ORD00219,ACC00393,AST00219,19/11/2024,Transfer,2,162.0,Completed,324.0
ORD00220,ACC00061,AST00220,27/06/2023,Upgrade,1,24.0,Open,24.0
ORD00221,ACC00045,AST00221,30/06/2024,Cease,2,225.0,Completed,450.0
ORD00222,ACC00089,AST00222,08/09/2025,Transfer,1,28.8,Completed,28.8
ORD00223,ACC00120,AST00223,14/08/2025,Cease,1,12.6,Completed,12.6
ORD00224,ACC00574,AST00224,11/01/2025,Cease,1,45.0,Completed,45.0
ORD00225,ACC00971,AST00225,25/07/2023,Modify,5,45.0,Completed,225.0
ORD00226,ACC00893,AST00226,22/08/2025,Modify,1,270.0,In Progress,270.0
ORD00227,ACC00609,AST00227,06/11/2024,Modify,10,330.0,Open,3300.0
ORD00228,ACC00808,AST00228,11/12/2024,Cease,3,14.25,Completed,42.75
ORD00229,ACC00477,AST00229,10/09/2025,Cease,10,11.88,Completed,118.8
ORD00230,ACC00743,AST00230,28/08/2024,Cease,1,57.0,Completed,57.0
ORD00231,ACC00271,AST00231,05/07/2023,Cease,10,9.5,Completed,95.0
ORD00232,ACC00256,AST00232,15/05/2024,Modify,5,30.0,Completed,150.0
ORD00233,ACC00011,AST00233,11/10/2024,Upgrade,1,48.0,Completed,48.0
ORD00234,ACC00095,AST00234,15/10/2025,Transfer,5,21.6,Completed,108.0
ORD00235,ACC00561,AST00235,21/03/2023,New Installation,3,21.0,In Progress,63.0
ORD00236,ACC00306,AST00236,28/03/2026,Modify,1,36.0,Completed,36.0
ORD00237,ACC00588,AST00237,23/09/2023,New Installation,3,11.88,In Progress,35.64
ORD00238,ACC00670,AST00238,17/07/2024,Upgrade,3,26.4,Completed,79.2
ORD00239,ACC00157,AST00239,04/02/2023,New Installation,1,41.8,Completed,41.8
ORD00240,ACC00831,AST00240,13/05/2024,Upgrade,1,165.0,Completed,165.0
ORD00241,ACC00844,AST00241,22/04/2024,Cease,2,27.75,Completed,55.5
ORD00242,ACC00272,AST00242,28/07/2024,Cease,1,48.0,Completed,48.0
ORD00243,ACC00390,AST00243,21/08/2025,Upgrade,10,40.0,Completed,400.0
ORD00244,ACC00437,AST00244,25/05/2025,New Installation,1,220.0,Completed,220.0
ORD00245,ACC00994,AST00245,26/04/2023,New Installation,1,23.12,Completed,23.12
ORD00246,ACC00844,AST00246,19/02/2026,Transfer,10,20.35,Completed,203.5
ORD00247,ACC00917,AST00247,05/01/2024,Transfer,5,57.0,Completed,285.0
ORD00248,ACC00629,AST00248,09/02/2026,Transfer,1,38.0,Open,38.0
ORD00249,ACC00962,AST00249,15/10/2023,Cease,3,225.0,Completed,675.0
ORD00250,ACC00441,AST00250,10/02/2026,Transfer,10,16.65,In Progress,166.5
ORD00251,ACC00435,AST00251,28/01/2024,New Installation,1,16.65,In Progress,16.65
ORD00252,ACC00470,AST00252,10/02/2024,Transfer,2,14.25,Completed,28.5
ORD00253,ACC00061,AST00253,26/06/2025,Transfer,3,10.45,Completed,31.35
ORD00254,ACC00733,AST00254,25/11/2025,Modify,1,45.0,Open,45.0
ORD00255,ACC00567,AST00255,26/01/2025,Upgrade,1,40.0,Completed,40.0
ORD00256,ACC00686,AST00256,01/10/2024,Cease,3,198.0,Completed,594.0
ORD00257,ACC00900,AST00257,28/05/2023,Upgrade,10,40.5,Completed,405.0
ORD00258,ACC00444,AST00258,22/06/2025,Upgrade,1,135.0,Completed,135.0
ORD00259,ACC00602,AST00259,13/09/2023,New Installation,5,275.0,Completed,1375.0
ORD00260,ACC00594,AST00260,12/04/2024,Cease,1,165.0,Completed,165.0
ORD00261,ACC00998,AST00261,15/10/2025,Cease,10,135.0,Completed,1350.0
ORD00262,ACC00057,AST00262,30/11/2024,New Installation,1,38.0,Completed,38.0
ORD00263,ACC00643,AST00263,28/03/2023,Transfer,1,12.6,Completed,12.6
ORD00264,ACC00031,AST00264,23/03/2023,Transfer,1,41.8,Open,41.8
ORD00265,ACC00068,AST00265,17/12/2025,Cease,1,34.2,Completed,34.2
ORD00266,ACC00803,AST00266,01/01/2026,Modify,1,18.5,Completed,18.5
ORD00267,ACC00278,AST00267,31/05/2024,Modify,1,180.0,In Progress,180.0
ORD00268,ACC00472,AST00268,12/12/2023,Cease,1,48.0,In Progress,48.0
ORD00269,ACC00887,AST00269,01/05/2024,Modify,3,12.6,In Progress,37.8
ORD00270,ACC00430,AST00270,16/01/2024,Transfer,2,242.0,In Progress,484.0
ORD00271,ACC00927,AST00271,09/08/2025,Cease,1,187.5,In Progress,187.5
ORD00272,ACC00619,AST00272,18/06/2023,Cease,10,30.0,Completed,300.0
ORD00273,ACC00377,AST00273,16/06/2025,Modify,3,330.0,Completed,990.0
ORD00274,ACC00711,AST00274,16/10/2025,Cease,10,48.0,Completed,480.0
ORD00275,ACC00077,AST00275,28/03/2026,Modify,2,225.0,Completed,450.0
ORD00276,ACC00523,AST00276,13/02/2025,New Installation,10,48.0,Completed,480.0
ORD00277,ACC00357,AST00277,09/06/2024,Upgrade,5,180.0,Completed,900.0
ORD00278,ACC00537,AST00278,10/05/2023,Transfer,5,225.0,Completed,1125.0
ORD00279,ACC00233,AST00279,22/07/2025,Upgrade,1,38.0,Completed,38.0
ORD00280,ACC00902,AST00280,10/11/2025,Modify,1,330.0,Completed,330.0
ORD00281,ACC00855,AST00281,10/11/2023,Cease,5,14.25,Completed,71.25
ORD00282,ACC00968,AST00282,01/04/2025,Cease,5,40.0,Completed,200.0
ORD00283,ACC00597,AST00283,14/09/2024,Upgrade,1,48.0,Completed,48.0
ORD00284,ACC00949,AST00284,01/05/2025,Upgrade,2,10.45,Completed,20.9
ORD00285,ACC00732,AST00285,05/01/2025,Cease,5,57.0,Completed,285.0
ORD00286,ACC00943,AST00286,16/04/2023,Upgrade,10,41.8,Completed,418.0
ORD00287,ACC00771,AST00287,10/04/2026,Upgrade,5,270.0,Completed,1350.0
ORD00288,ACC00957,AST00288,13/08/2023,Modify,1,12.6,Completed,12.6
ORD00289,ACC00582,AST00289,05/02/2023,Transfer,1,45.0,Completed,45.0
ORD00290,ACC00352,AST00290,24/04/2025,Modify,10,16.65,Completed,166.5
ORD00291,ACC00877,AST00291,04/02/2026,Upgrade,1,45.0,Completed,45.0
ORD00292,ACC00926,AST00292,01/01/2025,New Installation,10,135.0,In Progress,1350.0
ORD00293,ACC00434,AST00293,05/02/2023,Modify,1,10.45,Completed,10.45
ORD00294,ACC00579,AST00294,17/12/2025,Cease,3,67.5,Completed,202.5
ORD00295,ACC00623,AST00295,04/11/2023,Cease,2,35.2,Completed,70.4
ORD00296,ACC00301,AST00296,14/12/2024,Modify,3,14.25,Completed,42.75
ORD00297,ACC00643,AST00297,06/02/2024,Upgrade,2,242.0,Open,484.0
ORD00298,ACC00791,AST00298,23/04/2025,New Installation,5,34.2,Completed,171.0
ORD00299,ACC00470,AST00299,09/12/2024,Modify,2,34.2,Completed,68.4
ORD00300,ACC00435,AST00300,11/11/2025,Transfer,1,198.0,Completed,198.0
ORD00301,ACC00035,AST00301,25/10/2024,Cease,10,47.5,Completed,475.0
ORD00302,ACC00703,AST00302,29/06/2025,Upgrade,1,18.5,Completed,18.5
ORD00303,ACC00752,AST00303,05/02/2023,Modify,1,9.5,Completed,9.5
ORD00304,ACC00923,AST00304,04/03/2026,Cease,5,150.0,Open,750.0
ORD00305,ACC00070,AST00305,07/02/2024,Cease,5,18.5,Completed,92.5
ORD00306,ACC00904,AST00306,02/04/2023,Transfer,5,242.0,Completed,1210.0
ORD00307,ACC00070,AST00307,19/08/2025,New Installation,1,270.0,Completed,270.0
ORD00308,ACC00425,AST00308,17/01/2024,Cease,1,21.0,Completed,21.0
ORD00309,ACC00509,AST00309,21/02/2023,Modify,10,220.0,Completed,2200.0
ORD00310,ACC00349,AST00310,17/05/2023,Modify,5,270.0,Completed,1350.0
ORD00311,ACC00838,AST00311,06/03/2025,Transfer,3,225.0,Completed,675.0
ORD00312,ACC00616,AST00312,02/08/2025,Upgrade,1,162.0,Completed,162.0
ORD00313,ACC00892,AST00313,10/02/2026,Cease,5,24.0,Completed,120.0
ORD00314,ACC00219,AST00314,09/05/2023,Cease,1,20.35,Completed,20.35
ORD00315,ACC00414,AST00315,05/10/2025,Upgrade,1,48.0,In Progress,48.0
ORD00316,ACC00193,AST00316,01/07/2023,Modify,2,225.0,Completed,450.0
ORD00317,ACC00056,AST00317,10/08/2024,New Installation,3,15.4,Completed,46.2
ORD00318,ACC00413,AST00318,19/03/2025,Transfer,2,41.8,In Progress,83.6
ORD00319,ACC00170,AST00319,22/03/2025,Transfer,3,17.5,In Progress,52.5
ORD00320,ACC00944,AST00320,24/01/2023,Upgrade,10,67.5,Completed,675.0
ORD00321,ACC00421,AST00321,18/11/2024,Modify,2,30.0,Completed,60.0
ORD00322,ACC00336,AST00322,15/08/2023,Transfer,1,48.0,Open,48.0
ORD00323,ACC00433,AST00323,28/12/2025,New Installation,1,56.25,Completed,56.25
ORD00324,ACC00553,AST00324,23/01/2025,Upgrade,3,270.0,Completed,810.0
