billing_product_id,billing_account_id,asset_id,order_id,product_name,charge_type,charge_amount,last_billed_date,next_billing_date,status
BP00031,BACC00652,AST00576,ORD00576,Cloud Voice,Annual,19.0,20/05/2026,19/06/2026,Active
BP00032,BACC00636,AST00766,ORD00766,SIP Trunk,Annual,21.0,20/05/2026,19/06/2026,Active
BP00033,BACC00267,AST01166,ORD01166,Cloud Voice,Quarterly,8.55,20/05/2026,20/06/2026,Active
BP00034,BACC00419,AST01401,ORD01401,SD-WAN,Quarterly,225.0,20/05/2026,18/08/2026,Active
BP00035,BACC00628,AST01765,ORD01765,PSTN Line,Annual,16.65,20/05/2026,18/08/2026,Active
BP00036,BACC00413,AST00969,ORD00969,MPLS Circuit,Monthly,180.0,20/05/2026,19/06/2026,Active
BP00037,BACC00135,AST00835,ORD00835,FTTP Broadband,Quarterly,40.5,20/05/2026,20/06/2026,Active
BP00038,BACC00873,AST01841,ORD01841,PSTN Line,Annual,23.12,20/05/2026,20/06/2026,Active
BP00039,BACC00587,AST01045,ORD01045,SD-WAN,Annual,225.0,20/05/2026,19/06/2026,Ceased
BP00040,BACC00356,AST01089,ORD01089,SD-WAN,Annual,165.0,20/05/2026,18/08/2026,Inactive
BP00041,BACC00471,AST01801,ORD01801,FTTP Broadband,Quarterly,67.5,20/05/2026,20/06/2026,Active
BP00042,BACC00278,AST00922,ORD00922,FTTP Broadband,Annual,56.25,20/05/2026,19/06/2026,Active
BP00043,BACC00228,AST00569,ORD00569,Broadband,Annual,32.0,20/05/2026,20/06/2026,Active
BP00044,BACC00337,AST01341,ORD01341,SD-WAN,Quarterly,150.0,20/05/2026,18/08/2026,Active
BP00045,BACC00428,AST00301,ORD00301,FTTC Broadband,Quarterly,57.0,20/05/2026,20/06/2026,Active
BP00046,BACC00310,AST00690,ORD00690,MPLS Circuit,Annual,198.0,20/05/2026,19/06/2026,Active
BP00047,BACC00940,AST01602,ORD01602,MPLS Circuit,Quarterly,180.0,20/05/2026,20/06/2026,Active
BP00048,BACC00879,AST00422,ORD00422,Mobile Voice,Annual,21.6,20/05/2026,18/08/2026,Active
BP00049,BACC00799,AST01136,ORD01136,FTTP Broadband,Quarterly,67.5,20/05/2026,20/06/2026,Active
BP00050,BACC00142,AST01028,ORD01028,Mobile Voice,Annual,21.6,20/05/2026,20/06/2026,Active
BP00051,BACC00478,AST01758,ORD01758,FTTC Broadband,Quarterly,57.0,20/05/2026,19/06/2026,Active
BP00052,BACC00340,AST00384,ORD00384,SD-WAN,Monthly,225.0,20/05/2026,18/08/2026,Active
BP00053,BACC00236,AST01687,ORD01687,Broadband,Annual,40.0,20/05/2026,19/06/2026,Inactive
BP00054,BACC00346,AST00812,ORD00812,PSTN Line,Monthly,20.35,20/05/2026,20/06/2026,Inactive
BP00055,BACC00771,AST01755,ORD01755,MPLS Circuit,Monthly,270.0,20/05/2026,19/06/2026,Ceased
BP00056,BACC00284,AST01774,ORD01774,Cloud Voice,Quarterly,9.5,20/05/2026,19/06/2026,Active
BP00057,BACC00466,AST00456,ORD00456,Ethernet Circuit,Annual,275.0,20/05/2026,18/08/2026,Active
BP00058,BACC00834,AST00773,ORD00773,SD-WAN,Monthly,150.0,20/05/2026,20/06/2026,Active
BP00059,BACC00249,AST01168,ORD01168,SD-WAN,Quarterly,135.0,20/05/2026,18/08/2026,Active
BP00060,BACC00854,AST00874,ORD00874,Cloud Voice,Annual,19.0,20/05/2026,20/06/2026,Active
BP00061,BACC00128,AST01898,ORD01898,FTTC Broadband,Quarterly,47.5,20/05/2026,18/08/2026,Active
BP00062,BACC00285,AST01145,ORD01145,Cloud Voice,Annual,9.5,20/05/2026,18/08/2026,Active
BP00063,BACC00621,AST01688,ORD01688,SIP Trunk,Quarterly,12.6,20/05/2026,18/08/2026,Active
BP00064,BACC00205,AST01735,ORD01735,PSTN Line,Monthly,23.12,20/05/2026,19/06/2026,Active
BP00065,BACC00880,AST01011,ORD01011,Cloud Voice,Annual,14.25,20/05/2026,19/06/2026,Active
BP00066,BACC00279,AST01047,ORD01047,PSTN Line,Monthly,16.65,20/05/2026,18/08/2026,Active
BP00067,BACC00292,AST00346,ORD00346,Mobile Voice,Annual,24.0,20/05/2026,19/06/2026,Active
BP00068,BACC00834,AST01735,ORD01735,PSTN Line,Quarterly,16.65,20/05/2026,18/08/2026,Active
BP00069,BACC00190,AST00702,ORD00702,Cloud Voice,Annual,8.55,20/05/2026,18/08/2026,Active
BP00070,BACC00928,AST00657,ORD00657,Broadband,Annual,28.8,20/05/2026,19/06/2026,Active
BP00071,BACC00077,AST00059,ORD00059,Cloud Voice,Quarterly,11.88,20/05/2026,20/06/2026,Active
BP00072,BACC00212,AST01511,ORD01511,FTTC Broadband,Annual,76.0,20/05/2026,19/06/2026,Active
BP00073,BACC00533,AST01632,ORD01632,Mobile Voice,Quarterly,21.6,20/05/2026,18/08/2026,Inactive
BP00074,BACC00097,AST01449,ORD01449,MPLS Circuit,Annual,180.0,20/05/2026,18/08/2026,Active
BP00075,BACC00415,AST01234,ORD01234,Broadband,Quarterly,35.2,20/05/2026,20/06/2026,Active
BP00076,BACC00579,AST00868,ORD00868,MPLS Circuit,Annual,360.0,20/05/2026,20/06/2026,Active
BP00077,BACC00213,AST01505,ORD01505,Broadband,Annual,28.8,20/05/2026,19/06/2026,Active
BP00078,BACC00864,AST00664,ORD00664,Mobile Voice,Annual,21.6,20/05/2026,19/06/2026,Active
BP00079,BACC00879,AST01742,ORD01742,FTTC Broadband,Monthly,57.0,20/05/2026,19/06/2026,Active
BP00080,BACC00731,AST00420,ORD00420,SIP Trunk,Monthly,14.0,20/05/2026,19/06/2026,Active
BP00081,BACC00318,AST00438,ORD00438,Mobile Voice,Monthly,36.0,20/05/2026,20/06/2026,Active
BP00082,BACC00226,AST01902,ORD01902,SIP Trunk,Annual,28.0,20/05/2026,20/06/2026,Active
BP00083,BACC00772,AST01183,ORD01183,FTTP Broadband,Annual,56.25,20/05/2026,20/06/2026,Active
BP00084,BACC00695,AST01307,ORD01307,PSTN Line,Monthly,23.12,20/05/2026,18/08/2026,Active
BP00085,BACC00159,AST01019,ORD01019,SIP Trunk,Annual,28.0,20/05/2026,19/06/2026,Active
BP00086,BACC00401,AST00415,ORD00415,Ethernet Circuit,Annual,330.0,20/05/2026,18/08/2026,Ceased
BP00087,BACC00520,AST01991,ORD01991,Mobile Voice,Annual,21.6,20/05/2026,19/06/2026,Active
BP00088,BACC00931,AST00469,ORD00469,FTTP Broadband,Annual,40.5,20/05/2026,19/06/2026,Ceased
BP00089,BACC00015,AST00172,ORD00172,SIP Trunk,Quarterly,28.0,20/05/2026,20/06/2026,Active
BP00090,BACC00366,AST01057,ORD01057,Ethernet Circuit,Quarterly,330.0,20/05/2026,20/06/2026,Active
BP00091,BACC00743,AST00908,ORD00908,Broadband,Monthly,28.8,20/05/2026,19/06/2026,Active
BP00092,BACC00336,AST01827,ORD01827,MPLS Circuit,Monthly,225.0,20/05/2026,18/08/2026,Active
BP00093,BACC00852,AST01165,ORD01165,SD-WAN,Annual,135.0,20/05/2026,18/08/2026,Active
BP00094,BACC00759,AST01591,ORD01591,MPLS Circuit,Annual,162.0,20/05/2026,18/08/2026,Active
BP00095,BACC00269,AST00637,ORD00637,PSTN Line,Annual,20.35,20/05/2026,19/06/2026,Ceased
BP00096,BACC00821,AST00489,ORD00489,MPLS Circuit,Annual,360.0,20/05/2026,19/06/2026,Active
BP00097,BACC00103,AST01657,ORD01657,SD-WAN,Monthly,135.0,20/05/2026,20/06/2026,Active
BP00098,BACC00117,AST01567,ORD01567,SD-WAN,Annual,300.0,20/05/2026,20/06/2026,Active
BP00099,BACC00395,AST00433,ORD00433,MPLS Circuit,Monthly,225.0,20/05/2026,19/06/2026,Active
BP00100,BACC00787,AST01521,ORD01521,Mobile Voice,Annual,24.0,20/05/2026,19/06/2026,Active
BP00101,BACC00712,AST00254,ORD00254,FTTP Broadband,Annual,49.5,20/05/2026,20/06/2026,Active
BP00102,BACC00460,AST01425,ORD01425,Broadband,Monthly,32.0,20/05/2026,18/08/2026,Active
BP00103,BACC00307,AST00655,ORD00655,FTTC Broadband,Annual,47.5,20/05/2026,18/08/2026,Ceased
BP00104,BACC00697,AST01327,ORD01327,FTTP Broadband,Quarterly,56.25,20/05/2026,20/06/2026,Active
BP00105,BACC00233,AST00548,ORD00548,Broadband,Quarterly,35.2,20/05/2026,18/08/2026,Active
BP00106,BACC00473,AST01023,ORD01023,FTTP Broadband,Annual,90.0,20/05/2026,20/06/2026,Active
BP00107,BACC00593,AST01645,ORD01645,FTTC Broadband,Quarterly,34.2,20/05/2026,20/06/2026,Active
BP00108,BACC00564,AST00887,ORD00887,Broadband,Monthly,35.2,20/05/2026,18/08/2026,Active
BP00109,BACC00632,AST01420,ORD01420,MPLS Circuit,Quarterly,180.0,20/05/2026,18/08/2026,Active
BP00110,BACC00829,AST00207,ORD00207,FTTP Broadband,Quarterly,40.5,20/05/2026,20/06/2026,Active
BP00111,BACC00997,AST00077,ORD00077,Cloud Voice,Quarterly,14.25,20/05/2026,20/06/2026,Active
BP00112,BACC00804,AST01312,ORD01312,MPLS Circuit,Quarterly,162.0,20/05/2026,19/06/2026,Active
BP00113,BACC00209,AST01360,ORD01360,PSTN Line,Quarterly,18.5,20/05/2026,18/08/2026,Active
BP00114,BACC00379,AST01055,ORD01055,Cloud Voice,Annual,19.0,20/05/2026,20/06/2026,Active
BP00115,BACC00508,AST00611,ORD00611,FTTP Broadband,Annual,49.5,20/05/2026,19/06/2026,Ceased
BP00116,BACC00487,AST00458,ORD00458,Broadband,Quarterly,64.0,20/05/2026,20/06/2026,Active
BP00117,BACC00532,AST00968,ORD00968,PSTN Line,Annual,23.12,20/05/2026,20/06/2026,Inactive
BP00118,BACC00215,AST00775,ORD00775,FTTC Broadband,Quarterly,76.0,20/05/2026,18/08/2026,Ceased
BP00119,BACC00500,AST01192,ORD01192,FTTP Broadband,Quarterly,56.25,20/05/2026,20/06/2026,Active
BP00120,BACC00204,AST00104,ORD00104,SD-WAN,Quarterly,150.0,20/05/2026,20/06/2026,Active
BP00121,BACC00399,AST00071,ORD00071,MPLS Circuit,Annual,198.0,20/05/2026,20/06/2026,Active
BP00122,BACC00245,AST00196,ORD00196,Cloud Voice,Annual,11.88,20/05/2026,19/06/2026,Active
BP00123,BACC00498,AST01847,ORD01847,FTTC Broadband,Annual,76.0,20/05/2026,19/06/2026,Ceased
BP00124,BACC00061,AST01312,ORD01312,MPLS Circuit,Annual,162.0,20/05/2026,19/06/2026,Active
BP00125,BACC00737,AST00311,ORD00311,MPLS Circuit,Quarterly,270.0,20/05/2026,20/06/2026,Active
BP00126,BACC00118,AST01582,ORD01582,Broadband,Annual,28.8,20/05/2026,19/06/2026,Ceased
BP00127,BACC00440,AST01814,ORD01814,Mobile Voice,Annual,26.4,20/05/2026,19/06/2026,Active
BP00128,BACC00175,AST01860,ORD01860,MPLS Circuit,Quarterly,162.0,20/05/2026,19/06/2026,Active
BP00129,BACC00112,AST00807,ORD00807,FTTC Broadband,Monthly,34.2,20/05/2026,18/08/2026,Active
BP00130,BACC00525,AST01632,ORD01632,Mobile Voice,Annual,21.6,20/05/2026,18/08/2026,Active
BP00131,BACC00076,AST00201,ORD00201,SD-WAN,Quarterly,225.0,20/05/2026,18/08/2026,Active
BP00132,BACC00557,AST01789,ORD01789,MPLS Circuit,Monthly,270.0,20/05/2026,19/06/2026,Active
BP00133,BACC00312,AST01661,ORD01661,SD-WAN,Annual,300.0,20/05/2026,20/06/2026,Active
BP00134,BACC00837,AST01591,ORD01591,MPLS Circuit,Monthly,360.0,20/05/2026,18/08/2026,Active
BP00135,BACC00675,AST00479,ORD00479,PSTN Line,Annual,27.75,20/05/2026,20/06/2026,Active
BP00136,BACC00346,AST01911,ORD01911,Cloud Voice,Quarterly,19.0,20/05/2026,20/06/2026,Active
BP00137,BACC00826,AST00617,ORD00617,FTTP Broadband,Quarterly,67.5,20/05/2026,20/06/2026,Active
BP00138,BACC00249,AST01168,ORD01168,SD-WAN,Monthly,187.5,20/05/2026,20/06/2026,Inactive
BP00139,BACC00156,AST01839,ORD01839,Mobile Voice,Annual,21.6,20/05/2026,18/08/2026,Active
BP00140,BACC00794,AST01510,ORD01510,Broadband,Quarterly,48.0,20/05/2026,19/06/2026,Active
BP00141,BACC00700,AST01616,ORD01616,SD-WAN,Monthly,300.0,20/05/2026,18/08/2026,Active
BP00142,BACC00707,AST01656,ORD01656,MPLS Circuit,Monthly,162.0,20/05/2026,19/06/2026,Active
BP00143,BACC00102,AST01396,ORD01396,Ethernet Circuit,Annual,440.0,20/05/2026,18/08/2026,Active
BP00144,BACC00770,AST00299,ORD00299,FTTC Broadband,Annual,76.0,20/05/2026,18/08/2026,Ceased
BP00145,BACC00683,AST01846,ORD01846,SD-WAN,Quarterly,187.5,20/05/2026,18/08/2026,Active
BP00146,BACC00833,AST01492,ORD01492,FTTC Broadband,Annual,57.0,20/05/2026,18/08/2026,Active
BP00147,BACC00529,AST01674,ORD01674,MPLS Circuit,Monthly,198.0,20/05/2026,20/06/2026,Active
BP00148,BACC00896,AST01948,ORD01948,Cloud Voice,Monthly,8.55,20/05/2026,20/06/2026,Active
BP00149,BACC00122,AST00719,ORD00719,MPLS Circuit,Quarterly,270.0,20/05/2026,19/06/2026,Active
BP00150,BACC00926,AST00788,ORD00788,SIP Trunk,Monthly,28.0,20/05/2026,19/06/2026,Active
BP00151,BACC00231,AST01405,ORD01405,Broadband,Monthly,48.0,20/05/2026,19/06/2026,Active
BP00152,BACC00068,AST01155,ORD01155,Broadband,Annual,40.0,20/05/2026,20/06/2026,Active
BP00153,BACC00298,AST00267,ORD00267,MPLS Circuit,Annual,360.0,20/05/2026,18/08/2026,Active
BP00154,BACC00261,AST00738,ORD00738,Mobile Voice,Annual,36.0,20/05/2026,20/06/2026,Active
BP00155,BACC00708,AST00487,ORD00487,FTTC Broadband,Monthly,47.5,20/05/2026,18/08/2026,Ceased
BP00156,BACC00879,AST01742,ORD01742,FTTC Broadband,Annual,34.2,20/05/2026,19/06/2026,Ceased
BP00157,BACC00057,AST00101,ORD00101,SD-WAN,Quarterly,225.0,20/05/2026,18/08/2026,Active
BP00158,BACC00366,AST00768,ORD00768,Mobile Voice,Annual,30.0,20/05/2026,19/06/2026,Active
BP00159,BACC00112,AST00746,ORD00746,FTTC Broadband,Annual,41.8,20/05/2026,20/06/2026,Active
BP00160,BACC00712,AST00407,ORD00407,FTTC Broadband,Quarterly,38.0,20/05/2026,20/06/2026,Active
BP00161,BACC00974,AST01651,ORD01651,Mobile Voice,Monthly,48.0,20/05/2026,18/08/2026,Active
BP00162,BACC00869,AST01746,ORD01746,FTTP Broadband,Monthly,45.0,20/05/2026,18/08/2026,Active
BP00163,BACC00029,AST01328,ORD01328,FTTC Broadband,Annual,34.2,20/05/2026,20/06/2026,Active
BP00164,BACC00815,AST01788,ORD01788,FTTC Broadband,Quarterly,47.5,20/05/2026,20/06/2026,Ceased
BP00165,BACC00419,AST00315,ORD00315,Broadband,Monthly,32.0,20/05/2026,19/06/2026,Inactive
BP00166,BACC00730,AST01542,ORD01542,Broadband,Monthly,40.0,20/05/2026,18/08/2026,Active
BP00167,BACC00194,AST01704,ORD01704,PSTN Line,Quarterly,18.5,20/05/2026,19/06/2026,Active
BP00168,BACC00203,AST00023,ORD00023,Ethernet Circuit,Quarterly,330.0,20/05/2026,19/06/2026,Active
BP00169,BACC00935,AST00011,ORD00011,Cloud Voice,Quarterly,10.45,20/05/2026,19/06/2026,Active
BP00170,BACC00620,AST01842,ORD01842,PSTN Line,Annual,37.0,20/05/2026,20/06/2026,Active
BP00171,BACC00292,AST00192,ORD00192,FTTP Broadband,Annual,56.25,20/05/2026,20/06/2026,Active
BP00172,BACC00686,AST01969,ORD01969,FTTP Broadband,Quarterly,56.25,20/05/2026,18/08/2026,Ceased
BP00173,BACC00224,AST00078,ORD00078,Ethernet Circuit,Annual,330.0,20/05/2026,20/06/2026,Active
BP00174,BACC00860,AST01352,ORD01352,MPLS Circuit,Annual,198.0,20/05/2026,19/06/2026,Active
BP00175,BACC00346,AST00838,ORD00838,Cloud Voice,Annual,19.0,20/05/2026,18/08/2026,Active
BP00176,BACC00065,AST01070,ORD01070,Cloud Voice,Monthly,8.55,20/05/2026,18/08/2026,Inactive
BP00177,BACC00306,AST00251,ORD00251,PSTN Line,Monthly,18.5,20/05/2026,20/06/2026,Active
BP00178,BACC00134,AST01949,ORD01949,FTTC Broadband,Quarterly,38.0,20/05/2026,18/08/2026,Active
BP00179,BACC00965,AST00141,ORD00141,SIP Trunk,Annual,14.0,20/05/2026,20/06/2026,Active
BP00180,BACC00268,AST01659,ORD01659,PSTN Line,Annual,20.35,20/05/2026,19/06/2026,Inactive
BP00181,BACC00793,AST01924,ORD01924,FTTP Broadband,Annual,45.0,20/05/2026,20/06/2026,Active
BP00182,BACC00763,AST01344,ORD01344,FTTC Broadband,Monthly,76.0,20/05/2026,18/08/2026,Active
BP00183,BACC00707,AST01761,ORD01761,SD-WAN,Annual,187.5,20/05/2026,20/06/2026,Active
BP00184,BACC00216,AST00882,ORD00882,Mobile Voice,Monthly,36.0,20/05/2026,20/06/2026,Active
BP00185,BACC00787,AST00946,ORD00946,PSTN Line,Monthly,37.0,20/05/2026,20/06/2026,Active
BP00186,BACC00592,AST00050,ORD00050,Mobile Voice,Monthly,48.0,20/05/2026,18/08/2026,Active
BP00187,BACC00659,AST00570,ORD00570,SD-WAN,Annual,165.0,20/05/2026,19/06/2026,Active
BP00188,BACC00243,AST00641,ORD00641,Cloud Voice,Monthly,11.88,20/05/2026,18/08/2026,Active
BP00189,BACC00095,AST01093,ORD01093,FTTP Broadband,Annual,56.25,20/05/2026,20/06/2026,Active
BP00190,BACC00655,AST01137,ORD01137,Broadband,Annual,32.0,20/05/2026,20/06/2026,Active
BP00191,BACC00252,AST01783,ORD01783,Cloud Voice,Quarterly,10.45,20/05/2026,20/06/2026,Active
BP00192,BACC00954,AST01704,ORD01704,PSTN Line,Annual,16.65,20/05/2026,20/06/2026,Ceased
BP00193,BACC00137,AST00621,ORD00621,SIP Trunk,Monthly,15.4,20/05/2026,20/06/2026,Active
BP00194,BACC00399,AST00071,ORD00071,MPLS Circuit,Quarterly,270.0,20/05/2026,19/06/2026,Active
BP00195,BACC00792,AST01361,ORD01361,Broadband,Quarterly,32.0,20/05/2026,19/06/2026,Active
BP00196,BACC00416,AST01045,ORD01045,SD-WAN,Monthly,165.0,20/05/2026,18/08/2026,Active
BP00197,BACC00220,AST01469,ORD01469,FTTP Broadband,Quarterly,90.0,20/05/2026,20/06/2026,Inactive
BP00198,BACC00332,AST00169,ORD00169,MPLS Circuit,Quarterly,198.0,20/05/2026,20/06/2026,Active
BP00199,BACC00556,AST01082,ORD01082,FTTC Broadband,Monthly,41.8,20/05/2026,19/06/2026,Active
BP00200,BACC00109,AST00851,ORD00851,SIP Trunk,Monthly,17.5,20/05/2026,18/08/2026,Active
BP00201,BACC00704,AST00522,ORD00522,MPLS Circuit,Quarterly,225.0,20/05/2026,19/06/2026,Active
BP00202,BACC00156,AST00993,ORD00993,SIP Trunk,Annual,28.0,20/05/2026,20/06/2026,Active
BP00203,BACC00286,AST00531,ORD00531,Broadband,Quarterly,40.0,20/05/2026,18/08/2026,Active
BP00204,BACC00153,AST00536,ORD00536,PSTN Line,Quarterly,37.0,20/05/2026,20/06/2026,Active
BP00205,BACC00859,AST01033,ORD01033,Mobile Voice,Quarterly,24.0,20/05/2026,18/08/2026,Active
BP00206,BACC00081,AST00847,ORD00847,Cloud Voice,Annual,19.0,20/05/2026,19/06/2026,Ceased
BP00207,BACC00180,AST01438,ORD01438,FTTP Broadband,Quarterly,40.5,20/05/2026,20/06/2026,Active
BP00208,BACC00021,AST01637,ORD01637,PSTN Line,Monthly,37.0,20/05/2026,20/06/2026,Active
BP00209,BACC00461,AST01088,ORD01088,MPLS Circuit,Annual,225.0,20/05/2026,20/06/2026,Active
BP00210,BACC00818,AST01388,ORD01388,SD-WAN,Quarterly,165.0,20/05/2026,19/06/2026,Active
BP00211,BACC00654,AST00771,ORD00771,MPLS Circuit,Annual,360.0,20/05/2026,18/08/2026,Active
BP00212,BACC00530,AST00154,ORD00154,Mobile Voice,Monthly,26.4,20/05/2026,20/06/2026,Active
BP00213,BACC00725,AST01526,ORD01526,FTTP Broadband,Annual,90.0,20/05/2026,18/08/2026,Ceased
BP00214,BACC00612,AST01045,ORD01045,FTTC Broadband,Annual,38.0,20/05/2026,20/06/2026,Active
BP00215,BACC00723,AST00182,ORD00182,Mobile Voice,Annual,48.0,20/05/2026,20/06/2026,Active
BP00216,BACC00069,AST01859,ORD01859,PSTN Line,Monthly,37.0,20/05/2026,19/06/2026,Active
BP00217,BACC00907,AST01329,ORD01329,MPLS Circuit,Monthly,198.0,20/05/2026,19/06/2026,Active
BP00218,BACC00300,AST00528,ORD00528,FTTC Broadband,Quarterly,34.2,20/05/2026,19/06/2026,Active
BP00219,BACC00345,AST01883,ORD01883,FTTC Broadband,Monthly,34.2,20/05/2026,18/08/2026,Active
BP00220,BACC00897,AST02000,ORD02000,FTTC Broadband,Annual,47.5,20/05/2026,18/08/2026,Active
BP00221,BACC00775,AST00114,ORD00114,SD-WAN,Annual,300.0,20/05/2026,19/06/2026,Ceased
BP00222,BACC00521,AST00832,ORD00832,Mobile Voice,Monthly,36.0,20/05/2026,19/06/2026,Active
BP00223,BACC00031,AST01355,ORD01355,SIP Trunk,Annual,28.0,20/05/2026,20/06/2026,Active
BP00224,BACC00595,AST00044,ORD00044,Broadband,Annual,48.0,20/05/2026,19/06/2026,Inactive
BP00225,BACC00275,AST00010,ORD00010,Ethernet Circuit,Annual,242.0,20/05/2026,20/06/2026,Active
BP00226,BACC00836,AST01121,ORD01121,FTTP Broadband,Quarterly,67.5,20/05/2026,19/06/2026,Active
BP00227,BACC00014,AST00653,ORD00653,Mobile Voice,Monthly,30.0,20/05/2026,20/06/2026,Active
BP00228,BACC00087,AST00128,ORD00128,MPLS Circuit,Annual,225.0,20/05/2026,19/06/2026,Active
BP00229,BACC00535,AST01304,ORD01304,Broadband,Monthly,35.2,20/05/2026,19/06/2026,Active
BP00230,BACC00100,AST01592,ORD01592,FTTC Broadband,Monthly,57.0,20/05/2026,18/08/2026,Active
BP00231,BACC00804,AST01716,ORD01716,SD-WAN,Quarterly,135.0,20/05/2026,19/06/2026,Active
BP00232,BACC00893,AST01457,ORD01457,Broadband,Quarterly,28.8,20/05/2026,20/06/2026,Active
BP00233,BACC00771,AST00242,ORD00242,Broadband,Annual,28.8,20/05/2026,18/08/2026,Active
BP00234,BACC00313,AST01749,ORD01749,Cloud Voice,Quarterly,10.45,20/05/2026,20/06/2026,Active
BP00235,BACC00828,AST00351,ORD00351,Mobile Voice,Monthly,30.0,20/05/2026,19/06/2026,Active
BP00236,BACC00806,AST00853,ORD00853,PSTN Line,Quarterly,27.75,20/05/2026,20/06/2026,Active
BP00237,BACC00811,AST00406,ORD00406,SD-WAN,Quarterly,135.0,20/05/2026,19/06/2026,Active
BP00238,BACC00992,AST01928,ORD01928,SD-WAN,Annual,150.0,20/05/2026,20/06/2026,Active
BP00239,BACC00002,AST01458,ORD01458,Cloud Voice,Annual,9.5,20/05/2026,18/08/2026,Active
BP00240,BACC00349,AST00963,ORD00963,Cloud Voice,Annual,10.45,20/05/2026,19/06/2026,Active
BP00241,BACC00445,AST01493,ORD01493,Ethernet Circuit,Annual,220.0,20/05/2026,18/08/2026,Active
BP00242,BACC00478,AST01834,ORD01834,FTTC Broadband,Annual,38.0,20/05/2026,18/08/2026,Active
BP00243,BACC00079,AST01003,ORD01003,PSTN Line,Quarterly,23.12,20/05/2026,20/06/2026,Active
BP00244,BACC00308,AST01694,ORD01694,PSTN Line,Annual,27.75,20/05/2026,19/06/2026,Active
BP00245,BACC00310,AST00510,ORD00510,Broadband,Quarterly,35.2,20/05/2026,19/06/2026,Active
BP00246,BACC00759,AST01500,ORD01500,FTTP Broadband,Quarterly,45.0,20/05/2026,19/06/2026,Active
BP00247,BACC00192,AST01173,ORD01173,MPLS Circuit,Monthly,180.0,20/05/2026,19/06/2026,Active
