asset_id,account_id,asset_type,installation_date,asset_status,location,maintenance_cost,service_number
AST00021,ACC00375,Ethernet Circuit,13/09/2024,Active,London,13.91,ETH9866745766
AST00022,ACC00600,SD-WAN,24/04/2024,Active,Birmingham,43.55,SDWAN9071253703
AST00023,ACC00800,Ethernet Circuit,09/11/2024,Active,Cardiff,29.1,ETH8005575963
AST00024,ACC00022,PSTN Line,22/05/2025,Active,Manchester,3.64,PSTN6543237000
AST00025,ACC00424,PSTN Line,19/04/2025,Active,Edinburgh,4.61,PSTN4957805214
AST00026,ACC00642,PSTN Line,26/11/2024,Active,Manchester,1.07,PSTN9181796204
AST00027,ACC00176,MPLS Circuit,01/11/2025,Active,London,24.51,MPLS9628694281
AST00028,ACC00149,Broadband,30/04/2023,Ceased,Leeds,11.1,BB8243096123
AST00029,ACC00797,MPLS Circuit,06/03/2026,Active,Manchester,47.6,MPLS9873410167
AST00030,ACC00580,SD-WAN,30/03/2023,Active,Manchester,29.75,SDWAN9441700670
AST00031,ACC00692,PSTN Line,10/07/2024,Active,London,1.8,PSTN3736773497
AST00032,ACC00272,SIP Trunk,26/01/2023,Active,Edinburgh,3.03,SIP5701374805
AST00033,ACC00595,FTTC Broadband,25/04/2023,Active,Birmingham,5.27,FTTC8572126436
AST00034,ACC00880,Mobile Voice,15/10/2024,Inactive,Cardiff,7.08,MOB1082108418
AST00035,ACC00559,MPLS Circuit,04/04/2026,Active,Cardiff,22.75,MPLS9881121078
AST00036,ACC00903,SD-WAN,21/03/2024,Active,Bristol,43.72,SDWAN1321205630
AST00037,ACC00360,Mobile Voice,23/02/2024,Active,Liverpool,8.2,MOB6899347191
AST00038,ACC00197,SIP Trunk,06/01/2026,Active,Leeds,4.41,SIP8171264393
AST00039,ACC00691,Ethernet Circuit,16/12/2025,Active,Glasgow,21.2,ETH2107145590
AST00040,ACC00548,Broadband,31/03/2024,Active,Manchester,11.01,BB8990362795
AST00041,ACC00705,FTTP Broadband,07/09/2024,Active,Edinburgh,11.46,FTTP1828506815
AST00042,ACC00689,FTTC Broadband,05/02/2026,Active,London,12.77,FTTC5990315930
AST00043,ACC00630,FTTC Broadband,10/03/2026,Active,Manchester,7.78,FTTC2153712797
AST00044,ACC00597,Broadband,10/01/2023,Inactive,Cardiff,6.68,BB1758191752
AST00045,ACC00373,Mobile Voice,27/05/2023,Active,Glasgow,4.99,MOB3112883400
AST00046,ACC00959,Mobile Voice,18/09/2024,Inactive,Bristol,3.36,MOB4531705874
AST00047,ACC00221,MPLS Circuit,29/01/2023,Active,Edinburgh,43.79,MPLS8251633815
AST00048,ACC00282,Ethernet Circuit,04/11/2024,Ceased,Liverpool,21.84,ETH4163056332
AST00049,ACC00481,SD-WAN,21/06/2024,Active,Cardiff,30.03,SDWAN7522501828
AST00050,ACC00715,Mobile Voice,27/07/2025,Active,Bristol,3.86,MOB1240679130
AST00051,ACC00109,PSTN Line,26/05/2025,Active,Reading,2.59,PSTN1506713458
AST00052,ACC00823,Mobile Voice,29/11/2023,Active,Manchester,8.09,MOB8097789116
AST00053,ACC00924,SIP Trunk,15/08/2023,Active,London,1.75,SIP5744655335
AST00054,ACC00037,Cloud Voice,25/02/2023,Ceased,Cardiff,3.02,CV8133717882
AST00055,ACC00744,SIP Trunk,15/09/2025,Active,Edinburgh,2.14,SIP7464070103
AST00056,ACC00486,SD-WAN,14/07/2023,Active,Glasgow,13.86,SDWAN6509112231
AST00057,ACC00158,MPLS Circuit,24/06/2024,Active,Manchester,60.38,MPLS1189709154
AST00058,ACC00223,SIP Trunk,17/12/2023,Active,Bristol,2.87,SIP5563790653
AST00059,ACC00443,Cloud Voice,10/10/2024,Active,Cardiff,2.17,CV6015281269
AST00060,ACC00467,Cloud Voice,03/07/2024,Inactive,Glasgow,1.89,CV1793996147
AST00061,ACC00848,Ethernet Circuit,17/02/2024,Inactive,London,74.08,ETH2559212479
AST00062,ACC00721,FTTP Broadband,05/12/2023,Active,London,6.81,FTTP5039430265
AST00063,ACC00266,Broadband,12/09/2025,Active,Cardiff,2.12,BB3808394635
AST00064,ACC00146,Ethernet Circuit,17/04/2024,Inactive,London,51.13,ETH8547629297
AST00065,ACC00212,FTTP Broadband,28/12/2024,Active,Birmingham,11.11,FTTP2325380832
AST00066,ACC00184,Mobile Voice,02/02/2024,Active,Edinburgh,1.22,MOB6738126741
AST00067,ACC00177,Mobile Voice,18/07/2024,Active,Birmingham,5.82,MOB9423032499
AST00068,ACC00247,FTTP Broadband,04/06/2023,Active,Cardiff,11.9,FTTP3192202310
AST00069,ACC00131,Ethernet Circuit,08/12/2025,Active,Leeds,58.25,ETH4995945410
AST00070,ACC00653,Broadband,06/07/2023,Active,Reading,3.58,BB7655301382
AST00071,ACC00115,MPLS Circuit,18/09/2024,Inactive,Cardiff,41.33,MPLS3955595351
AST00072,ACC00417,SD-WAN,30/03/2024,Active,Liverpool,46.18,SDWAN6277497085
AST00073,ACC00139,MPLS Circuit,17/02/2026,Ceased,Manchester,55.08,MPLS1742451352
AST00074,ACC00432,SD-WAN,15/10/2024,Active,London,28.35,SDWAN7813278916
AST00075,ACC00190,PSTN Line,01/09/2023,Ceased,Cardiff,2.9,PSTN5695998185
AST00076,ACC00687,Mobile Voice,06/11/2023,Inactive,Glasgow,2.02,MOB3965128245
AST00077,ACC00277,Cloud Voice,10/06/2023,Active,Manchester,1.45,CV7260167985
AST00078,ACC00258,Ethernet Circuit,26/01/2026,Active,Liverpool,11.26,ETH9327821267
AST00079,ACC00230,MPLS Circuit,26/09/2023,Active,Cardiff,30.36,MPLS9430084867
AST00080,ACC00396,MPLS Circuit,20/06/2025,Active,Cardiff,30.83,MPLS7781824127
AST00081,ACC00582,PSTN Line,03/08/2023,Active,Liverpool,2.32,PSTN3829006036
AST00082,ACC00669,Mobile Voice,05/01/2025,Active,Birmingham,3.5,MOB7037463046
AST00083,ACC00627,SD-WAN,01/11/2024,Active,Glasgow,23.87,SDWAN2825712149
AST00084,ACC00522,Cloud Voice,26/11/2025,Active,Cardiff,2.39,CV7296668516
AST00085,ACC00341,MPLS Circuit,03/09/2024,Active,Glasgow,39.17,MPLS5383600095
AST00086,ACC00679,SIP Trunk,12/04/2023,Active,Edinburgh,3.42,SIP4001575436
AST00087,ACC00968,Broadband,06/07/2024,Active,Cardiff,10.08,BB3292833495
AST00088,ACC00322,SIP Trunk,17/04/2024,Ceased,Birmingham,4.81,SIP8076561623
AST00089,ACC00693,Broadband,06/05/2025,Ceased,Reading,5.07,BB4237406298
AST00090,ACC00767,Cloud Voice,26/08/2025,Active,Glasgow,0.66,CV8111428863
AST00091,ACC00134,FTTP Broadband,08/08/2025,Active,Edinburgh,7.19,FTTP6220954605
AST00092,ACC00767,FTTP Broadband,09/08/2025,Active,Leeds,6.88,FTTP6713133433
AST00093,ACC00495,SD-WAN,13/12/2025,Active,Edinburgh,18.9,SDWAN7027951249
AST00094,ACC00556,SD-WAN,25/05/2023,Active,Cardiff,33.64,SDWAN2810567027
AST00095,ACC00803,Cloud Voice,02/05/2023,Active,Bristol,2.54,CV3308879359
AST00096,ACC00311,SD-WAN,04/02/2025,Active,Glasgow,29.89,SDWAN5774017567
AST00097,ACC00043,Broadband,14/10/2024,Active,Birmingham,8.69,BB9142375784
AST00098,ACC00701,Cloud Voice,19/07/2025,Active,Glasgow,1.14,CV9505392625
AST00099,ACC00583,Mobile Voice,23/08/2025,Active,Liverpool,7.94,MOB8827990042
AST00100,ACC00845,MPLS Circuit,17/02/2024,Active,Edinburgh,57.42,MPLS9301378268
AST00101,ACC00937,SD-WAN,01/05/2025,Active,Reading,51.86,SDWAN7503813361
AST00102,ACC00943,MPLS Circuit,23/04/2025,Ceased,Birmingham,57.51,MPLS1309190766
AST00103,ACC00301,Cloud Voice,02/03/2025,Active,Bristol,1.65,CV9792999067
AST00104,ACC00898,SD-WAN,27/07/2024,Active,Glasgow,38.27,SDWAN8511313679
AST00105,ACC00679,MPLS Circuit,07/05/2023,Active,Cardiff,49.64,MPLS3447292345
AST00106,ACC00083,SD-WAN,27/09/2025,Active,Liverpool,24.84,SDWAN8826550462
AST00107,ACC00571,Broadband,04/12/2025,Active,Cardiff,2.76,BB5646552813
AST00108,ACC00857,MPLS Circuit,25/03/2025,Active,Manchester,20.63,MPLS7799383375
AST00109,ACC00864,Ethernet Circuit,02/08/2024,Active,Edinburgh,64.52,ETH9720455674
AST00110,ACC00236,MPLS Circuit,14/08/2025,Ceased,Leeds,37.63,MPLS5512382126
AST00111,ACC00251,FTTC Broadband,28/01/2026,Inactive,Reading,8.04,FTTC3321440509
AST00112,ACC00991,Cloud Voice,15/05/2024,Ceased,Birmingham,2.49,CV5150620305
AST00113,ACC00087,SD-WAN,05/02/2025,Active,Liverpool,27.85,SDWAN8004024415
AST00114,ACC00190,SD-WAN,31/08/2024,Active,Edinburgh,22.54,SDWAN3376921669
AST00115,ACC00639,Ethernet Circuit,16/02/2025,Active,Reading,43.04,ETH4446766378
AST00116,ACC00307,FTTP Broadband,22/07/2025,Active,Birmingham,15.24,FTTP2536502597
AST00117,ACC00301,Cloud Voice,03/04/2024,Active,Birmingham,1.1,CV3809785226
AST00118,ACC00885,Cloud Voice,11/12/2023,Active,Bristol,2.56,CV3850661991
AST00119,ACC00250,SIP Trunk,02/12/2023,Active,Glasgow,0.86,SIP3684358710
AST00120,ACC00794,FTTP Broadband,01/11/2023,Active,Reading,11.42,FTTP4890308479
AST00121,ACC00187,FTTC Broadband,20/09/2024,Active,Liverpool,11.07,FTTC9363215000
AST00122,ACC00977,Broadband,12/01/2023,Active,Reading,5.34,BB1788674042
AST00123,ACC00224,MPLS Circuit,10/06/2023,Active,Bristol,49.62,MPLS8254907612
AST00124,ACC00360,Broadband,23/01/2024,Active,Edinburgh,8.93,BB6817582276
AST00125,ACC00766,Cloud Voice,18/06/2023,Active,Leeds,0.84,CV4115080970
AST00126,ACC00241,PSTN Line,30/07/2025,Active,Bristol,3.44,PSTN9130141182
AST00127,ACC00936,Cloud Voice,24/08/2025,Ceased,Glasgow,2.46,CV2074591708
AST00128,ACC00465,MPLS Circuit,16/03/2024,Ceased,Glasgow,55.95,MPLS9515620419
AST00129,ACC00699,PSTN Line,03/02/2025,Active,Cardiff,5.86,PSTN4680324296
AST00130,ACC00152,Cloud Voice,16/06/2023,Active,Manchester,2.08,CV2095156378
AST00131,ACC00878,Cloud Voice,06/02/2026,Active,London,0.91,CV2222303831
AST00132,ACC00977,Broadband,26/02/2025,Active,London,7.29,BB3483600602
AST00133,ACC00046,Ethernet Circuit,04/04/2026,Active,Cardiff,74.23,ETH5587928344
AST00134,ACC00740,SD-WAN,21/11/2023,Ceased,Bristol,27.1,SDWAN9198790758
AST00135,ACC01000,SD-WAN,26/01/2026,Active,Leeds,9.99,SDWAN8831634136
AST00136,ACC00631,SD-WAN,20/12/2023,Inactive,Edinburgh,26.62,SDWAN4091504661
AST00137,ACC00399,SIP Trunk,28/11/2024,Active,Reading,4.3,SIP4528292170
AST00138,ACC00748,PSTN Line,21/03/2025,Active,Bristol,3.7,PSTN5632422585
AST00139,ACC00969,SIP Trunk,01/11/2023,Active,Cardiff,2.53,SIP5060066429
AST00140,ACC00798,Mobile Voice,11/02/2026,Active,Reading,6.63,MOB1465844461
AST00141,ACC00788,Broadband,11/09/2025,Active,Leeds,3.75,BB3055502640
AST00142,ACC00984,Mobile Voice,13/09/2025,Inactive,London,7.94,MOB2664535599
AST00143,ACC00795,SD-WAN,08/06/2024,Active,Manchester,12.45,SDWAN7340544056
AST00144,ACC00151,SD-WAN,31/10/2023,Ceased,Manchester,15.33,SDWAN1008495298
AST00145,ACC00314,FTTP Broadband,13/03/2026,Ceased,London,9.46,FTTP7685429273
AST00146,ACC00543,MPLS Circuit,18/12/2024,Active,Glasgow,62.6,MPLS7356826729
AST00147,ACC00602,Mobile Voice,14/07/2025,Active,Edinburgh,5.17,MOB7640050988
AST00148,ACC00204,Cloud Voice,28/01/2026,Active,London,1.28,CV6319717535
AST00149,ACC00893,Ethernet Circuit,22/11/2023,Active,London,32.65,ETH8396644216
AST00150,ACC00443,MPLS Circuit,03/04/2025,Active,Birmingham,41.67,MPLS9984944205
AST00151,ACC00273,Mobile Voice,28/08/2025,Ceased,London,5.37,MOB3675933207
AST00152,ACC00874,PSTN Line,28/12/2023,Ceased,Glasgow,2.75,PSTN5700057155
AST00153,ACC00397,Broadband,11/04/2024,Active,London,8.72,BB3496190089
AST00154,ACC00609,Mobile Voice,09/06/2023,Active,Manchester,6.28,MOB8001712223
AST00155,ACC00008,Ethernet Circuit,25/07/2024,Active,Leeds,25.63,ETH7402163215
AST00156,ACC00531,Mobile Voice,03/01/2026,Active,Glasgow,8.02,MOB6300545024
AST00157,ACC00051,FTTP Broadband,18/07/2024,Active,Bristol,8.81,FTTP1023253609
AST00158,ACC00188,MPLS Circuit,21/01/2023,Active,London,25.09,MPLS2423542122
AST00159,ACC00392,Cloud Voice,03/12/2025,Active,Bristol,3.13,CV6541828712
AST00160,ACC00794,FTTP Broadband,17/02/2023,Active,Liverpool,5.15,FTTP2080828862
AST00161,ACC00385,SD-WAN,10/11/2025,Active,Leeds,15.75,SDWAN8928538943
AST00162,ACC00118,Cloud Voice,13/05/2023,Inactive,Birmingham,1.22,CV9027722357
AST00163,ACC00110,SD-WAN,19/11/2025,Active,Glasgow,23.99,SDWAN6335884772
AST00164,ACC00071,FTTP Broadband,12/07/2024,Inactive,Glasgow,8.37,FTTP7921503328
AST00165,ACC00476,Ethernet Circuit,22/11/2024,Active,Reading,54.1,ETH1714268631
AST00166,ACC00899,PSTN Line,12/12/2025,Active,Birmingham,2.75,PSTN8401938488
AST00167,ACC00791,FTTP Broadband,01/08/2023,Active,Manchester,14.54,FTTP6061260706
AST00168,ACC00386,Mobile Voice,30/08/2023,Active,Leeds,4.38,MOB9850608492
AST00169,ACC00658,MPLS Circuit,24/11/2024,Active,Glasgow,23.41,MPLS2531872158
AST00170,ACC00333,MPLS Circuit,05/06/2025,Active,Liverpool,15.37,MPLS9498850744
AST00171,ACC00756,SD-WAN,22/04/2024,Active,Liverpool,26.83,SDWAN4752588247
AST00172,ACC00933,SIP Trunk,24/12/2024,Active,Edinburgh,3.34,SIP7303988520
AST00173,ACC00661,SIP Trunk,08/02/2026,Active,Glasgow,4.49,SIP7499209822
AST00174,ACC00855,Ethernet Circuit,24/06/2025,Ceased,Cardiff,18.34,ETH2879483945
AST00175,ACC00436,SIP Trunk,05/09/2024,Active,Liverpool,3.23,SIP7515356646
AST00176,ACC00679,SIP Trunk,20/04/2024,Active,Liverpool,1.03,SIP7528208112
AST00177,ACC00116,Cloud Voice,07/10/2025,Active,Reading,1.81,CV1207217752
AST00178,ACC00160,Cloud Voice,19/03/2023,Active,Reading,0.97,CV9601964921
AST00179,ACC00502,Cloud Voice,14/10/2023,Active,Liverpool,2.17,CV2972280070
AST00180,ACC00400,FTTC Broadband,29/01/2025,Ceased,Leeds,4.08,FTTC5877514113
AST00181,ACC00066,MPLS Circuit,09/07/2024,Active,Glasgow,13.27,MPLS7827074954
AST00182,ACC00599,Mobile Voice,08/12/2023,Inactive,Liverpool,5.17,MOB4661781744
AST00183,ACC00406,SD-WAN,30/01/2024,Active,Birmingham,33.4,SDWAN6011427272
AST00184,ACC00641,SIP Trunk,16/09/2024,Ceased,Glasgow,2.61,SIP9359952704
AST00185,ACC00436,FTTP Broadband,29/07/2025,Active,Glasgow,10.79,FTTP6732385773
AST00186,ACC00434,FTTP Broadband,16/07/2024,Ceased,Manchester,15.02,FTTP8740261125
AST00187,ACC00936,SIP Trunk,20/08/2023,Active,Reading,4.73,SIP3477236399
AST00188,ACC00845,Cloud Voice,08/11/2023,Ceased,Edinburgh,1.17,CV4839330700
AST00189,ACC00182,SD-WAN,27/02/2023,Active,Glasgow,45.84,SDWAN2113841304
AST00190,ACC00592,Ethernet Circuit,22/11/2023,Active,Cardiff,22.0,ETH1838386093
AST00191,ACC00852,SD-WAN,10/07/2025,Active,Bristol,16.66,SDWAN9262156890
AST00192,ACC00799,FTTP Broadband,22/07/2023,Active,Leeds,8.69,FTTP9714128707
AST00193,ACC00049,Ethernet Circuit,07/09/2024,Active,Liverpool,71.85,ETH1149568175
AST00194,ACC00015,Broadband,19/01/2025,Active,Birmingham,6.69,BB9560929336
AST00195,ACC00200,FTTP Broadband,11/06/2023,Ceased,Liverpool,8.85,FTTP4866588446
AST00196,ACC00269,Cloud Voice,22/05/2025,Active,Cardiff,2.52,CV6146672567
AST00197,ACC00398,SD-WAN,14/05/2023,Active,Reading,49.81,SDWAN5823760014
AST00198,ACC00659,FTTP Broadband,23/01/2025,Active,Bristol,10.0,FTTP6742973664
AST00199,ACC00249,FTTC Broadband,07/02/2026,Active,Reading,4.6,FTTC8304746090
AST00200,ACC00331,Mobile Voice,08/08/2024,Active,Leeds,3.88,MOB5150840720
AST00201,ACC00723,SD-WAN,29/06/2025,Ceased,Edinburgh,40.9,SDWAN6218320283
AST00202,ACC00041,FTTP Broadband,04/06/2025,Ceased,Bristol,11.13,FTTP5403016697
AST00203,ACC00474,FTTP Broadband,14/10/2024,Active,Bristol,8.5,FTTP3747889812
AST00204,ACC00255,PSTN Line,23/12/2024,Active,Birmingham,4.47,PSTN8761723344
AST00205,ACC00656,Ethernet Circuit,16/01/2025,Active,Cardiff,35.79,ETH9483885650
AST00206,ACC00225,SD-WAN,20/01/2025,Active,London,41.43,SDWAN2647665629
AST00207,ACC00520,FTTP Broadband,12/05/2023,Ceased,Manchester,13.85,FTTP5495901639
AST00208,ACC00531,PSTN Line,27/10/2024,Active,Glasgow,2.8,PSTN2142473597
AST00209,ACC00701,Ethernet Circuit,07/07/2024,Active,Glasgow,33.56,ETH5450297355
AST00210,ACC00274,MPLS Circuit,09/06/2025,Ceased,Reading,22.33,MPLS5667828236
AST00211,ACC00414,Cloud Voice,14/02/2023,Active,Bristol,2.6,CV5529495419
AST00212,ACC00165,Mobile Voice,29/08/2024,Active,Leeds,7.85,MOB5590915682
AST00213,ACC00339,MPLS Circuit,25/11/2025,Active,Liverpool,51.47,MPLS8355860366
AST00214,ACC00075,Broadband,23/02/2024,Active,Bristol,5.56,BB6719844146
AST00215,ACC00405,Ethernet Circuit,18/01/2024,Active,Reading,50.33,ETH3624031347
AST00216,ACC00189,Ethernet Circuit,24/05/2024,Active,Edinburgh,44.51,ETH9425982452
AST00217,ACC00177,Mobile Voice,26/03/2025,Ceased,Liverpool,4.89,MOB8477244255
AST00218,ACC00916,SIP Trunk,06/02/2023,Active,Glasgow,3.14,SIP6926131516
AST00219,ACC00393,MPLS Circuit,30/07/2025,Active,Manchester,25.23,MPLS3564349386
AST00220,ACC00061,Mobile Voice,18/09/2023,Active,Reading,6.49,MOB5794991771
AST00221,ACC00045,MPLS Circuit,28/08/2025,Ceased,Cardiff,52.38,MPLS8494617974
AST00222,ACC00089,Broadband,05/06/2024,Active,London,11.18,BB2993960132
AST00223,ACC00120,SIP Trunk,30/08/2025,Active,Birmingham,4.57,SIP2927342419
AST00224,ACC00574,FTTP Broadband,07/01/2026,Active,Reading,6.94,FTTP2451980638
AST00225,ACC00971,FTTP Broadband,24/05/2025,Active,Liverpool,3.33,FTTP2957297280
AST00226,ACC00893,MPLS Circuit,25/01/2024,Ceased,Bristol,62.19,MPLS3489275788
AST00227,ACC00609,Ethernet Circuit,17/07/2025,Active,Bristol,55.48,ETH3437700039
AST00228,ACC00808,Cloud Voice,25/02/2025,Active,Edinburgh,0.99,CV6392526125
AST00229,ACC00477,Cloud Voice,04/05/2024,Active,Liverpool,2.71,CV7512962677
AST00230,ACC00743,FTTC Broadband,29/06/2023,Ceased,Bristol,11.29,FTTC4525821316
AST00231,ACC00271,Cloud Voice,27/01/2023,Ceased,London,1.52,CV7681288628
AST00232,ACC00256,Mobile Voice,19/12/2024,Inactive,Cardiff,1.31,MOB8120630864
AST00233,ACC00011,Broadband,21/09/2023,Active,Cardiff,4.23,BB4952440358
AST00234,ACC00095,Mobile Voice,21/04/2024,Ceased,London,1.28,MOB9622252301
AST00235,ACC00561,SIP Trunk,20/03/2025,Active,Glasgow,2.19,SIP4736936483
AST00236,ACC00306,Mobile Voice,22/01/2024,Active,Reading,5.45,MOB7960399153
AST00237,ACC00588,Cloud Voice,13/03/2023,Active,Leeds,2.51,CV1260490883
AST00238,ACC00670,Mobile Voice,10/11/2023,Active,London,4.17,MOB9204133204
AST00239,ACC00157,FTTC Broadband,18/01/2025,Active,Manchester,6.23,FTTC6248646135
AST00240,ACC00831,SD-WAN,11/06/2024,Active,Reading,32.97,SDWAN4178167482
AST00241,ACC00844,PSTN Line,10/04/2026,Active,Cardiff,3.66,PSTN2390263891
AST00242,ACC00272,Broadband,04/06/2023,Ceased,Leeds,2.76,BB8116424195
AST00243,ACC00390,Broadband,04/04/2025,Active,Birmingham,10.75,BB5232509069
AST00244,ACC00437,Ethernet Circuit,04/02/2024,Active,Edinburgh,53.41,ETH2277026023
AST00245,ACC00994,PSTN Line,09/10/2023,Inactive,Manchester,1.49,PSTN8451502090
AST00246,ACC00844,PSTN Line,15/02/2025,Active,Leeds,4.41,PSTN8596542780
AST00247,ACC00917,FTTC Broadband,29/10/2023,Active,Birmingham,12.85,FTTC5797394840
AST00248,ACC00629,FTTC Broadband,26/07/2023,Active,Birmingham,12.18,FTTC3531709273
AST00249,ACC00962,MPLS Circuit,23/01/2024,Active,Bristol,62.32,MPLS9864286637
AST00250,ACC00441,PSTN Line,28/04/2023,Active,London,1.44,PSTN4775012209
AST00251,ACC00435,PSTN Line,10/07/2024,Active,Birmingham,6.23,PSTN2836427101
AST00252,ACC00470,Cloud Voice,07/12/2025,Active,Edinburgh,2.71,CV7494797362
AST00253,ACC00061,Cloud Voice,29/04/2023,Active,Edinburgh,2.79,CV4299881358
AST00254,ACC00733,FTTP Broadband,06/09/2023,Active,Liverpool,11.87,FTTP5859947347
AST00255,ACC00567,Broadband,12/10/2024,Active,Bristol,7.78,BB4865660387
AST00256,ACC00686,MPLS Circuit,12/04/2026,Active,London,40.83,MPLS3070652398
AST00257,ACC00900,FTTP Broadband,21/01/2026,Active,Edinburgh,12.85,FTTP7580911819
AST00258,ACC00444,SD-WAN,06/11/2025,Active,Liverpool,33.59,SDWAN4813222222
AST00259,ACC00602,Ethernet Circuit,06/04/2025,Active,Glasgow,35.36,ETH2849888308
AST00260,ACC00594,SD-WAN,01/12/2023,Active,London,39.62,SDWAN5065567104
AST00261,ACC00998,SD-WAN,22/01/2025,Active,Manchester,12.43,SDWAN4320226141
AST00262,ACC00057,FTTC Broadband,10/01/2025,Active,Liverpool,8.34,FTTC2490862799
AST00263,ACC00643,SIP Trunk,19/02/2025,Active,Birmingham,3.32,SIP6668559240
AST00264,ACC00031,FTTC Broadband,19/01/2025,Inactive,Liverpool,11.85,FTTC8188764792
AST00265,ACC00068,FTTC Broadband,22/07/2023,Active,London,5.7,FTTC1909118496
AST00266,ACC00803,PSTN Line,19/05/2025,Active,Bristol,5.07,PSTN6380973777
AST00267,ACC00278,MPLS Circuit,23/10/2024,Active,Glasgow,12.55,MPLS1189404633
AST00268,ACC00472,Broadband,12/07/2023,Active,Manchester,6.54,BB6590526693
AST00269,ACC00887,SIP Trunk,01/12/2023,Active,Liverpool,4.54,SIP7075531806
AST00270,ACC00430,Ethernet Circuit,24/10/2023,Active,Glasgow,66.08,ETH1515205708
AST00271,ACC00927,SD-WAN,19/01/2026,Active,Leeds,22.58,SDWAN9133641677
AST00272,ACC00619,Mobile Voice,28/12/2024,Ceased,Cardiff,6.72,MOB3309919247
AST00273,ACC00377,Ethernet Circuit,07/05/2025,Active,Manchester,16.58,ETH3902742062
AST00274,ACC00711,Broadband,11/04/2023,Active,Edinburgh,4.01,BB3061698936
AST00275,ACC00077,SD-WAN,10/03/2026,Active,Bristol,35.55,SDWAN3425797504
AST00276,ACC00523,Broadband,09/01/2026,Ceased,London,5.28,BB9742666349
AST00277,ACC00357,MPLS Circuit,29/06/2025,Inactive,Liverpool,40.58,MPLS7853360400
AST00278,ACC00537,MPLS Circuit,16/10/2025,Active,Cardiff,51.78,MPLS8543377490
AST00279,ACC00233,FTTC Broadband,26/07/2024,Active,Birmingham,3.23,FTTC6534253858
AST00280,ACC00902,Ethernet Circuit,06/01/2026,Ceased,Glasgow,27.3,ETH7515581834
AST00281,ACC00855,Cloud Voice,29/01/2025,Active,London,1.61,CV6681051095
AST00282,ACC00968,Broadband,15/01/2024,Active,Reading,3.56,BB6230816844
AST00283,ACC00597,Broadband,15/02/2026,Active,Reading,5.01,BB3619213747
AST00284,ACC00949,Cloud Voice,21/11/2024,Active,Edinburgh,1.8,CV8863411919
AST00285,ACC00732,FTTC Broadband,29/04/2025,Active,Glasgow,9.42,FTTC1579577221
AST00286,ACC00943,FTTC Broadband,26/11/2024,Active,Bristol,6.83,FTTC8634639124
AST00287,ACC00771,MPLS Circuit,28/03/2025,Active,Edinburgh,25.85,MPLS8904086253
AST00288,ACC00957,SIP Trunk,04/04/2024,Active,Birmingham,2.38,SIP2443710811
AST00289,ACC00582,FTTP Broadband,23/03/2026,Inactive,Cardiff,6.46,FTTP4670732308
AST00290,ACC00352,PSTN Line,21/05/2024,Active,Leeds,3.32,PSTN7271986060
AST00291,ACC00877,FTTP Broadband,06/01/2023,Ceased,Reading,11.1,FTTP4972496917
AST00292,ACC00926,SD-WAN,11/09/2025,Active,Bristol,14.26,SDWAN6773585077
AST00293,ACC00434,Cloud Voice,08/06/2023,Active,Edinburgh,2.19,CV7023086465
AST00294,ACC00579,FTTP Broadband,03/06/2025,Active,Glasgow,10.06,FTTP7595920490
AST00295,ACC00623,Broadband,12/02/2023,Active,Manchester,6.92,BB1384550086
